Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
R_S_8, R_S_10, R_S_13, R_S_14	0.22	0.00	0.00
R_S_8, R_S_10, R_S_13, R_S_15	0.10	0.00	0.00
R_S_8, R_S_10, R_S_14, R_S_15	0.10	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_13	0.28	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_14	0.30	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_15	0.25	0.00	0.00
R_S_8, R_S_11, R_S_13, R_S_14	0.27	0.00	0.00
R_S_8, R_S_11, R_S_13, R_S_15	0.00	0.00	0.00
R_S_8, R_S_11, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_8, R_S_12, R_S_13, R_S_15	0.11	0.00	0.00
R_S_8, R_S_12, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_13, R_S_14, R_S_15	0.11	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12	0.00	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_13	0.00	0.00	0.01
R_S_9, R_S_10, R_S_11, R_S_14	0.11	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_15	0.19	0.00	0.01
R_S_9, R_S_10, R_S_12, R_S_13	0.00	0.00	0.01
R_S_9, R_S_10, R_S_12, R_S_14	0.32	0.00	0.00
R_S_9, R_S_10, R_S_12, R_S_15	0.00	0.00	0.00
R_S_9, R_S_10, R_S_13, R_S_14	0.10	0.00	0.01
R_S_9, R_S_10, R_S_13, R_S_15	0.09	0.00	0.00
R_S_9, R_S_10, R_S_14, R_S_15	0.55	0.00	0.01
R_S_9, R_S_11, R_S_12, R_S_13	0.12	0.00	0.00
R_S_9, R_S_11, R_S_12, R_S_14	0.13	0.00	0.00
R_S_9, R_S_11, R_S_12, R_S_15	0.00	0.00	0.00
R_S_9, R_S_11, R_S_13, R_S_14	0.12	0.00	0.00
R_S_9, R_S_11, R_S_13, R_S_15	0.00	0.00	0.01
R_S_9, R_S_11, R_S_14, R_S_15	0.11	0.00	0.00
R_S_9, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_9, R_S_12, R_S_13, R_S_15	0.00	0.00	0.00
R_S_9, R_S_12, R_S_14, R_S_15	0.10	0.00	0.00
R_S_9, R_S_13, R_S_14, R_S_15	0.10	0.00	0.00
R_S_10, R_S_11, R_S_12, R_S_13	0.00	0.00	0.00
R_S_10, R_S_11, R_S_12, R_S_14	0.57	0.00	0.01
R_S_10, R_S_11, R_S_12, R_S_15	0.59	0.00	0.00
R_S_10, R_S_11, R_S_13, R_S_14	0.11	0.00	0.00
R_S_10, R_S_11, R_S_13, R_S_15	0.09	0.00	0.01
R_S_10, R_S_11, R_S_14, R_S_15	0.49	0.00	0.00
R_S_10, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_10, R_S_12, R_S_13, R_S_15	0.09	0.00	0.00
R_S_10, R_S_12, R_S_14, R_S_15	0.28	0.00	0.00
R_S_10, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_11, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_11, R_S_12, R_S_13, R_S_15	0.00	0.00	0.00
R_S_11, R_S_12, R_S_14, R_S_15	0.45	0.00	0.00
R_S_11, R_S_13, R_S_14, R_S_15	0.10	0.00	0.00
R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_13	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_14	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_15	0.11	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_13	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_14	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_13, R_S_14	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_13, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_14, R_S_15	0.10	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_13	0.00	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_14	0.14	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_13, R_S_14	0.00	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_13, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_13, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_13, R_S_14, R_S_15	0.11	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_13	0.00	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_14	0.13	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_15	0.11	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_13, R_S_14	0.12	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_13, R_S_15	0.00	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_13, R_S_15	0.00	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_10, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_13, R_S_15	0.00	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_11, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_13	0.00	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_14	0.00	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_15	0.00	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_13, R_S_14	0.00	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_13, R_S_15	0.00	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_14, R_S_15	0.00	0.00	0.00
R_S_9, R_S_10, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_9, R_S_10, R_S_12, R_S_13, R_S_15	0.00	0.00	0.00
R_S_9, R_S_10, R_S_12, R_S_14, R_S_15	0.00	0.00	0.00
R_S_9, R_S_10, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_9, R_S_11, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_9, R_S_11, R_S_12, R_S_13, R_S_15	0.00	0.00	0.00
R_S_9, R_S_11, R_S_12, R_S_14, R_S_15	0.00	0.00	0.00
R_S_9, R_S_11, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_9, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_10, R_S_11, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_10, R_S_11, R_S_12, R_S_13, R_S_15	0.00	0.00	0.00
R_S_10, R_S_11, R_S_12, R_S_14, R_S_15	0.31	0.00	0.00
R_S_10, R_S_11, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_10, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_13	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_14	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_13, R_S_14	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_13, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_13, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_13, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_13, R_S_15	0.00	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_10, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_15	0.00	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_14, R_S_15	0.00	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_9, R_S_10, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_9, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_10, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	0.00	0.00	0.00
