Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Lac3, LacA, LacC, LacD, LacE	0.00	0.00	0.00
Lac3, LacB, LacC, LacD, LacE	0.00	0.00	0.00
LacA, LacB, LacC, LacD, LacE	6.02	0.00	0.00
Lac2, Lac3, LacA, LacB, LacC, LacD	0.00	0.00	0.00
Lac2, Lac3, LacA, LacB, LacC, LacE	0.00	0.00	0.00
Lac2, Lac3, LacA, LacB, LacD, LacE	0.00	0.00	0.00
Lac2, Lac3, LacA, LacC, LacD, LacE	0.00	0.00	0.00
Lac2, Lac3, LacB, LacC, LacD, LacE	0.00	0.00	0.00
Lac2, LacA, LacB, LacC, LacD, LacE	6.00	0.00	0.00
Lac3, LacA, LacB, LacC, LacD, LacE	0.00	0.00	0.00
Lac2, Lac3, LacA, LacB, LacC, LacD, LacE	0.00	0.00	0.00
