Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Lac3, LacA, LacD, LacE	0.00	0.00	0.00
Lac3, LacB, LacC, LacD	11.94	0.00	0.00
Lac3, LacB, LacC, LacE	0.00	0.00	0.00
Lac3, LacB, LacD, LacE	0.00	0.00	0.00
Lac3, LacC, LacD, LacE	0.00	0.00	0.00
LacA, LacB, LacC, LacD	40.58	0.00	0.00
LacA, LacB, LacC, LacE	5.71	0.00	0.00
LacA, LacB, LacD, LacE	6.67	0.00	0.00
LacA, LacC, LacD, LacE	6.15	0.00	0.00
LacB, LacC, LacD, LacE	5.88	0.00	0.00
Lac2, Lac3, LacA, LacB, LacC	0.00	0.00	0.00
Lac2, Lac3, LacA, LacB, LacD	0.00	0.00	0.00
Lac2, Lac3, LacA, LacB, LacE	0.00	0.00	0.00
Lac2, Lac3, LacA, LacC, LacD	0.00	0.00	0.00
Lac2, Lac3, LacA, LacC, LacE	0.00	0.00	0.00
Lac2, Lac3, LacA, LacD, LacE	0.00	0.00	0.00
Lac2, Lac3, LacB, LacC, LacD	11.90	0.00	0.00
Lac2, Lac3, LacB, LacC, LacE	0.00	0.00	0.00
Lac2, Lac3, LacB, LacD, LacE	0.00	0.00	0.00
Lac2, Lac3, LacC, LacD, LacE	0.00	0.00	0.00
Lac2, LacA, LacB, LacC, LacD	17.44	0.00	0.00
Lac2, LacA, LacB, LacC, LacE	5.75	0.00	0.00
Lac2, LacA, LacB, LacD, LacE	6.49	0.00	0.00
Lac2, LacA, LacC, LacD, LacE	6.10	0.00	0.00
Lac2, LacB, LacC, LacD, LacE	5.88	0.00	0.00
Lac3, LacA, LacB, LacC, LacD	0.00	0.00	0.00
Lac3, LacA, LacB, LacC, LacE	0.00	0.00	0.00
Lac3, LacA, LacB, LacD, LacE	0.00	0.00	0.00
Lac3, LacA, LacC, LacD, LacE	0.00	0.00	0.00
Lac3, LacB, LacC, LacD, LacE	0.00	0.00	0.00
LacA, LacB, LacC, LacD, LacE	6.02	0.00	0.00
Lac2, Lac3, LacA, LacB, LacC, LacD	0.00	0.00	0.00
Lac2, Lac3, LacA, LacB, LacC, LacE	0.00	0.00	0.00
Lac2, Lac3, LacA, LacB, LacD, LacE	0.00	0.00	0.00
Lac2, Lac3, LacA, LacC, LacD, LacE	0.00	0.00	0.00
Lac2, Lac3, LacB, LacC, LacD, LacE	0.00	0.00	0.00
Lac2, LacA, LacB, LacC, LacD, LacE	6.00	0.00	0.00
Lac3, LacA, LacB, LacC, LacD, LacE	0.00	0.00	0.00
Lac2, Lac3, LacA, LacB, LacC, LacD, LacE	0.00	0.00	0.00
