Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
lactate3,lactateA,lactateB,lactateD,lactateE	1.36	0.00	0.01
lactate3,lactateA,lactateC,lactateD,lactateE	1.74	0.00	0.01
lactate3,lactateB,lactateC,lactateD,lactateE	1.29	0.00	0.01
lactateA,lactateB,lactateC,lactateD,lactateE	1.59	0.00	0.01
lactate2,lactate3,lactateA,lactateB,lactateC,lactateD	0.39	0.00	0.00
lactate2,lactate3,lactateA,lactateB,lactateC,lactateE	0.43	0.00	0.00
lactate2,lactate3,lactateA,lactateB,lactateD,lactateE	0.65	0.00	0.01
lactate2,lactate3,lactateA,lactateC,lactateD,lactateE	0.43	0.00	0.00
lactate2,lactate3,lactateB,lactateC,lactateD,lactateE	0.62	0.00	0.00
lactate2,lactateA,lactateB,lactateC,lactateD,lactateE	0.45	0.00	0.00
lactate3,lactateA,lactateB,lactateC,lactateD,lactateE	0.57	0.00	0.00
lactate2,lactate3,lactateA,lactateB,lactateC,lactateD,lactateE	0.42	0.00	0.00
