Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
glycerol1,glycerol2,glycerolB,glycerolD,glycerolE	1.95	0.04	0.04
glycerol1,glycerol2,glycerolC,glycerolD,glycerolE	2.13	0.03	0.04
glycerol1,glycerolA,glycerolB,glycerolC,glycerolD	1.67	0.09	0.06
glycerol1,glycerolA,glycerolB,glycerolC,glycerolE	2.11	0.05	0.05
glycerol1,glycerolA,glycerolB,glycerolD,glycerolE	1.48	0.06	0.05
glycerol1,glycerolA,glycerolC,glycerolD,glycerolE	1.83	0.05	0.05
glycerol1,glycerolB,glycerolC,glycerolD,glycerolE	2.43	0.06	0.05
glycerol2,glycerolA,glycerolB,glycerolC,glycerolD	3.25	0.12	0.07
glycerol2,glycerolA,glycerolB,glycerolC,glycerolE	1.95	0.07	0.05
glycerol2,glycerolA,glycerolB,glycerolD,glycerolE	1.85	0.07	0.05
glycerol2,glycerolA,glycerolC,glycerolD,glycerolE	2.10	0.07	0.06
glycerol2,glycerolB,glycerolC,glycerolD,glycerolE	2.22	0.07	0.06
glycerolA,glycerolB,glycerolC,glycerolD,glycerolE	1.91	0.11	0.07
glycerol1,glycerol2,glycerolA,glycerolB,glycerolC,glycerolD	0.98	0.01	0.02
glycerol1,glycerol2,glycerolA,glycerolB,glycerolC,glycerolE	1.16	0.01	0.02
glycerol1,glycerol2,glycerolA,glycerolB,glycerolD,glycerolE	0.85	0.01	0.02
glycerol1,glycerol2,glycerolA,glycerolC,glycerolD,glycerolE	1.06	0.01	0.02
glycerol1,glycerol2,glycerolB,glycerolC,glycerolD,glycerolE	1.18	0.01	0.02
glycerol1,glycerolA,glycerolB,glycerolC,glycerolD,glycerolE	0.86	0.01	0.02
glycerol2,glycerolA,glycerolB,glycerolC,glycerolD,glycerolE	1.06	0.01	0.03
glycerol1,glycerol2,glycerolA,glycerolB,glycerolC,glycerolD,glycerolE	0.52	0.00	0.01
