Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
glycerol1, glycerol2, glycerolB, glycerolD, glycerolE	62.23	2.43	0.33
glycerol1, glycerol2, glycerolC, glycerolD, glycerolE	62.88	2.34	0.33
glycerol1, glycerolA, glycerolB, glycerolC, glycerolD	49.34	7.03	0.47
glycerol1, glycerolA, glycerolB, glycerolC, glycerolE	56.67	3.56	0.39
glycerol1, glycerolA, glycerolB, glycerolD, glycerolE	56.26	3.64	0.39
glycerol1, glycerolA, glycerolC, glycerolD, glycerolE	56.79	3.53	0.40
glycerol1, glycerolB, glycerolC, glycerolD, glycerolE	55.30	3.82	0.42
glycerol2, glycerolA, glycerolB, glycerolC, glycerolD	61.38	8.71	0.49
glycerol2, glycerolA, glycerolB, glycerolC, glycerolE	57.03	4.40	0.41
glycerol2, glycerolA, glycerolB, glycerolD, glycerolE	56.63	4.49	0.42
glycerol2, glycerolA, glycerolC, glycerolD, glycerolE	57.14	4.40	0.41
glycerol2, glycerolB, glycerolC, glycerolD, glycerolE	55.69	4.77	0.43
glycerolA, glycerolB, glycerolC, glycerolD, glycerolE	51.02	7.28	0.49
glycerol1, glycerol2, glycerolA, glycerolB, glycerolC, glycerolD	52.57	2.58	0.33
glycerol1, glycerol2, glycerolA, glycerolB, glycerolC, glycerolE	59.40	1.28	0.24
glycerol1, glycerol2, glycerolA, glycerolB, glycerolD, glycerolE	59.02	1.31	0.25
glycerol1, glycerol2, glycerolA, glycerolC, glycerolD, glycerolE	59.51	1.27	0.24
glycerol1, glycerol2, glycerolB, glycerolC, glycerolD, glycerolE	58.14	1.37	0.25
glycerol1, glycerolA, glycerolB, glycerolC, glycerolD, glycerolE	53.70	2.13	0.29
glycerol2, glycerolA, glycerolB, glycerolC, glycerolD, glycerolE	54.39	2.66	0.31
glycerol1, glycerol2, glycerolA, glycerolB, glycerolC, glycerolD, glycerolE	56.22	0.76	0.18
