Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
lactate3, lactateA, lactateB, lactateD, lactateE	3.68	0.00	0.02
lactate3, lactateA, lactateC, lactateD, lactateE	6.19	0.00	0.02
lactate3, lactateB, lactateC, lactateD, lactateE	4.62	0.00	0.02
lactateA, lactateB, lactateC, lactateD, lactateE	4.58	0.00	0.01
lactate2, lactate3, lactateA, lactateB, lactateC, lactateD	1.58	0.00	0.00
lactate2, lactate3, lactateA, lactateB, lactateC, lactateE	1.72	0.00	0.00
lactate2, lactate3, lactateA, lactateB, lactateD, lactateE	1.08	0.00	0.00
lactate2, lactate3, lactateA, lactateC, lactateD, lactateE	3.03	0.00	0.00
lactate2, lactate3, lactateB, lactateC, lactateD, lactateE	2.49	0.00	0.00
lactate2, lactateA, lactateB, lactateC, lactateD, lactateE	1.78	0.00	0.00
lactate3, lactateA, lactateB, lactateC, lactateD, lactateE	2.08	0.00	0.00
lactate2, lactate3, lactateA, lactateB, lactateC, lactateD, lactateE	1.04	0.00	0.00
