lines	n_lines	observed_count	D_value
Ara+2|Ara+5|Ara-3	3	206	31.928574901483763
Ara+2|Ara+5|Ara-4	3	183	35.02866934864487
Ara+2|Ara+5|Ara-5	3	195	33.30990022309345
Ara+2|Ara+5|Ara-6	3	123	26.729784059417145
Ara+2|Ara-1|Ara-2	3	203	28.852883049594848
Ara+2|Ara-1|Ara-3	3	159	23.6206250761153
Ara+2|Ara-1|Ara-4	3	202	40.38895215133643
Ara+2|Ara-1|Ara-5	3	175	29.98368459522326
Ara+2|Ara-1|Ara-6	3	127	28.56209448149253
Ara+2|Ara-2|Ara-3	3	211	27.96776511615592
Ara+2|Ara-2|Ara-4	3	237	38.46059675985469
Ara+2|Ara-2|Ara-5	3	194	28.34725059123832
Ara+2|Ara-2|Ara-6	3	135	25.90232174704813
Ara+2|Ara-3|Ara-4	3	164	30.017731118378844
Ara+2|Ara-3|Ara-5	3	159	25.806469603896023
Ara+2|Ara-3|Ara-6	3	116	25.195807606289463
Ara+2|Ara-4|Ara-5	3	178	37.12600712642614
Ara+2|Ara-4|Ara-6	3	133	35.88721918441965
Ara+2|Ara-5|Ara-6	3	107	24.6538244763789
Ara+3|Ara+4|Ara+5	3	139	25.257050522998806
Ara+3|Ara+4|Ara-1	3	138	27.203773494303736
Ara+3|Ara+4|Ara-2	3	146	22.231465132067072
Ara+3|Ara+4|Ara-3	3	130	21.93923265211852
Ara+3|Ara+4|Ara-4	3	142	33.011640533163906
Ara+3|Ara+4|Ara-5	3	130	25.541591328722763
Ara+3|Ara+4|Ara-6	3	102	25.98223933461163
Ara+3|Ara+5|Ara-1	3	138	20.99125182215736
Ara+3|Ara+5|Ara-2	3	177	23.24312489025855
Ara+3|Ara+5|Ara-3	3	166	25.0264033778092
Ara+3|Ara+5|Ara-4	3	140	25.460017816044328
Ara+3|Ara+5|Ara-5	3	156	26.136520435246894
Ara+3|Ara+5|Ara-6	3	97	20.449018723552243
Ara+3|Ara-1|Ara-2	3	192	25.344867371756106
Ara+3|Ara-1|Ara-3	3	139	19.301865823569045
Ara+3|Ara-1|Ara-4	3	183	36.82732741416566
Ara+3|Ara-1|Ara-5	3	166	27.765479191400605
Ara+3|Ara-1|Ara-6	3	112	25.4610737649724
Ara+3|Ara-2|Ara-3	3	195	24.331577046725855
Ara+3|Ara-2|Ara-4	3	194	31.79360170547477
Ara+3|Ara-2|Ara-5	3	173	24.858268014237336
Ara+3|Ara-2|Ara-6	3	114	21.322910320044755
Ara+3|Ara-3|Ara-4	3	135	25.030798642381804
Ara+3|Ara-3|Ara-5	3	144	22.63279181612677
Ara+3|Ara-3|Ara-6	3	94	19.130140089083497
Ara+3|Ara-4|Ara-5	3	151	30.703202146721058
Ara+3|Ara-4|Ara-6	3	101	27.143133787557893
Ara+3|Ara-5|Ara-6	3	87	20.46167018088197
Ara+4|Ara+5|Ara-1	3	123	22.08127516702947
Ara+4|Ara+5|Ara-2	3	175	30.11680558607495
Ara+4|Ara+5|Ara-3	3	155	29.428752539018458
Ara+4|Ara+5|Ara-4	3	141	33.88467104950226
Ara+4|Ara+5|Ara-5	3	170	35.11366535435151
Ara+4|Ara+5|Ara-6	3	130	36.086573476581606
Ara+4|Ara-1|Ara-2	3	153	25.44516116874461
Ara+4|Ara-1|Ara-3	3	127	23.39351202139161
Ara+4|Ara-1|Ara-4	3	146	33.860137407581014
Ara+4|Ara-1|Ara-5	3	115	23.10995719092972
Ara+4|Ara-1|Ara-6	3	119	33.688659505467896
Ara+4|Ara-2|Ara-3	3	167	26.221277452605467
Ara+4|Ara-2|Ara-4	3	166	32.27808200237693
Ara+4|Ara-2|Ara-5	3	154	26.06694496279461
Ara+4|Ara-2|Ara-6	3	136	31.902043274646413
Ara+4|Ara-3|Ara-4	3	132	29.53450759275501
Ara+4|Ara-3|Ara-5	3	131	25.2813298178682
Ara+4|Ara-3|Ara-6	3	118	31.274622139655136
Ara+4|Ara-4|Ara-5	3	133	32.86279382824613
Ara+4|Ara-4|Ara-6	3	124	41.425988625318034
Ara+4|Ara-5|Ara-6	3	99	28.722352664816164
Ara+5|Ara-1|Ara-2	3	167	21.90881355349285
Ara+5|Ara-1|Ara-3	3	137	20.25373318506329
Ara+5|Ara-1|Ara-4	3	151	29.034048450471293
Ara+5|Ara-1|Ara-5	3	148	25.355678649845803
Ara+5|Ara-1|Ara-6	3	110	25.596465363843
Ara+5|Ara-2|Ara-3	3	208	26.683425432042544
Ara+5|Ara-2|Ara-4	3	184	30.70567427557005
Ara+5|Ara-2|Ara-5	3	194	28.88861282009256
Ara+5|Ara-2|Ara-6	3	131	25.59572334620179
Ara+5|Ara-3|Ara-4	3	142	25.58018491832782
Ara+5|Ara-3|Ara-5	3	178	29.704719115165226
Ara+5|Ara-3|Ara-6	3	119	25.77292173016874
Ara+5|Ara-4|Ara-5	3	147	30.62167876193609
Ara+5|Ara-4|Ara-6	3	107	28.761398708969573
Ara+5|Ara-5|Ara-6	3	110	26.034108743851952
Ara-1|Ara-2|Ara-3	3	180	22.432196920801445
Ara-1|Ara-2|Ara-4	3	209	35.91580371063396
Ara-1|Ara-2|Ara-5	3	175	25.63435601441995
Ara-1|Ara-2|Ara-6	3	146	30.690252268781844
Ara-1|Ara-3|Ara-4	3	146	27.89451370053836
Ara-1|Ara-3|Ara-5	3	128	19.769253680974995
Ara-1|Ara-3|Ara-6	3	122	26.596775668754184
Ara-1|Ara-4|Ara-5	3	148	30.27262383919572
Ara-1|Ara-4|Ara-6	3	131	38.307668494854006
Ara-1|Ara-5|Ara-6	3	95	23.41481017466564
Ara-2|Ara-3|Ara-4	3	188	29.039444835563437
Ara-2|Ara-3|Ara-5	3	172	24.38657882840793
Ara-2|Ara-3|Ara-6	3	134	24.024590128925517
Ara-2|Ara-4|Ara-5	3	175	31.692734328355407
Ara-2|Ara-4|Ara-6	3	141	34.41307306185288
Ara-2|Ara-5|Ara-6	3	121	25.45409539477128
Ara-3|Ara-4|Ara-5	3	120	22.88398227151353
Ara-3|Ara-4|Ara-6	3	111	29.36480289863679
Ara-3|Ara-5|Ara-6	3	98	22.391064131316178
Ara-4|Ara-5|Ara-6	3	93	27.639619055626493
Ara+1|Ara+2|Ara+3|Ara+4	4	113	52.83716602717158
Ara+1|Ara+2|Ara+3|Ara+5	4	132	52.46875834921371
Ara+1|Ara+2|Ara+3|Ara-1	4	149	59.03193027875061
Ara+1|Ara+2|Ara+3|Ara-2	4	154	51.31919005661895
Ara+1|Ara+2|Ara+3|Ara-3	4	129	49.90730723402938
Ara+1|Ara+2|Ara+3|Ara-4	4	145	68.86953825082414
Ara+1|Ara+2|Ara+3|Ara-5	4	141	58.95487335566179
Ara+1|Ara+2|Ara+3|Ara-6	4	77	41.07864270507814
Ara+1|Ara+2|Ara+4|Ara+5	4	104	48.8114170168931
Ara+1|Ara+2|Ara+4|Ara-1	4	105	48.94960795052892
Ara+1|Ara+2|Ara+4|Ara-2	4	108	43.55078985673676
Ara+1|Ara+2|Ara+4|Ara-3	4	87	39.23324650798057
Ara+1|Ara+2|Ara+4|Ara-4	4	113	63.09400303685675
Ara+1|Ara+2|Ara+4|Ara-5	4	101	49.413710687982864
Ara+1|Ara+2|Ara+4|Ara-6	4	71	46.15249406826133
Ara+1|Ara+2|Ara+5|Ara-1	4	125	50.21376926090106
Ara+1|Ara+2|Ara+5|Ara-2	4	137	46.122015645317
Ara+1|Ara+2|Ara+5|Ara-3	4	119	44.219673981356834
Ara+1|Ara+2|Ara+5|Ara-4	4	132	62.32582211630091
Ara+1|Ara+2|Ara+5|Ara-5	4	135	55.5492719279165
Ara+1|Ara+2|Ara+5|Ara-6	4	72	40.79292060090859
Ara+1|Ara+2|Ara-1|Ara-2	4	149	55.26694072221287
Ara+1|Ara+2|Ara-1|Ara-3	4	105	40.50186534714005
Ara+1|Ara+2|Ara-1|Ara-4	4	143	70.52546503558722
Ara+1|Ara+2|Ara-1|Ara-5	4	143	62.94322727054954
Ara+1|Ara+2|Ara-1|Ara-6	4	81	47.16923660653941
Ara+1|Ara+2|Ara-2|Ara-3	4	122	40.69195491113483
Ara+1|Ara+2|Ara-2|Ara-4	4	150	60.53512654408174
Ara+1|Ara+2|Ara-2|Ara-5	4	143	52.99129113298155
Ara+1|Ara+2|Ara-2|Ara-6	4	83	41.56199521626308
Ara+1|Ara+2|Ara-3|Ara-4	4	103	48.00979085767745
Ara+1|Ara+2|Ara-3|Ara-5	4	109	43.52161814028488
Ara+1|Ara+2|Ara-3|Ara-6	4	62	31.679860920219333
Ara+1|Ara+2|Ara-4|Ara-5	4	140	71.41652940535727
Ara+1|Ara+2|Ara-4|Ara-6	4	81	53.615609269477815
Ara+1|Ara+2|Ara-5|Ara-6	4	75	44.98922542082795
Ara+1|Ara+3|Ara+4|Ara+5	4	88	39.7351954765464
Ara+1|Ara+3|Ara+4|Ara-1	4	106	52.27735590988004
Ara+1|Ara+3|Ara+4|Ara-2	4	93	38.67508488340261
Ara+1|Ara+3|Ara+4|Ara-3	4	80	35.14173807683088
