WT at 42C_1,ALE1 at 42C,WT at 42C_2,ALE2 at 42C,WT at 42C_3,ALE3 at 42C,WT at 42C_4,ALE4 at 42C,WT at 42C_5,ALE5 at 42C,WT at 42C_6,ALE6 at 42C,WT at 42C_7,ALE7 at 42C,WT at 42C_8,ALE8 at 42C,WT at 42C_9,ALE9 at 42C,WT at 42C_10,ALE10 at 42C
143.374,108.566,148.101,110.141,159.978,102.208,145.869,129.305,158.997,104.505,148.703,121.857,145.327,109.356,145.557,126.8,156.149,117.353,149.883,124.47
43.9709,66.9588,45.4204,28.9686,49.0629,40.9333,44.736,53.3549,48.762,66.4445,45.6049,48.6097,44.5698,59.3521,44.6403,48.7629,47.8887,47.4169,45.9671,56.6678
8.06152,4.73246,8.32728,6.6399,8.99509,7.20643,8.20179,3.6868,8.93993,7.0384,8.36111,5.52276,8.17132,11.1031,8.18425,9.40096,8.77982,3.574,8.4275,10.0058
0,1.11155,0,0.535121,0,0,0,1.17714,0,1.53895,0,1.52966,0,0,0,0,0,1.08316,0,1.53099
5.47671,1.60364,5.65725,1.47475,6.11094,0,5.572,4.02242,6.07347,2.7954,5.68024,0,5.5513,2.45275,5.56008,0.988537,5.96469,3.05046,5.72534,1.38035
2832.77,476.524,2926.15,3890.94,3160.82,1457.95,2882.06,3597.14,3141.43,916.97,2938.04,488.82,2871.35,93.8259,2875.89,2948.96,3085.17,1369.7,2961.37,1457.11
615.909,107.65,636.213,575.606,687.235,310.701,626.626,289.512,683.02,186.974,638.798,122.62,624.298,43.1245,625.286,348.325,670.788,304.152,643.871,215.624
131.549,41.9206,135.885,78.5768,146.783,96.8902,133.838,72.0608,145.883,93.5339,136.437,43.2579,133.34,44.1558,133.551,58.8344,143.27,113.117,137.521,64.2386
0,59.7394,0,23.629,0,39.5304,0,47.5384,0,15.9486,0,27.9605,0,85.4568,0,17.8184,0,0,0,67.8397
75.5277,45.6365,78.0175,26.8453,84.2742,23.5761,76.8419,18.2444,83.7574,27.568,78.3345,26.4636,76.5564,25.2833,76.6775,23.2912,82.2573,26.5699,78.9565,21.4189
51.3349,31.8095,53.0272,23.1796,57.2798,30.9954,52.2281,28.0415,56.9285,43.5367,53.2426,24.9867,52.0341,37.4445,52.1164,32.0499,55.9089,36.0662,53.6654,27.9862
0.0748806,0,0.0585781,0,0.0574699,0,0.0619157,0,0.0603253,0,0.0534193,0,0.0616857,0,0.0673988,0,0.0584361,0,0.0592831,0
0,45.0663,0,24.774,0,32.9123,0,19.1449,0,51.9974,0,106.814,0,31.0233,0,62.965,0,24.6444,0,58.195
7618.53,3106.42,7869.69,6368.17,8500.81,10180.1,7751.1,3007.1,8448.67,12633.6,7901.66,4156.93,7722.3,3214.17,7734.52,2888.82,8297.36,12354.1,7964.41,3749.94
0,20.2862,0,11.9106,0,2.6437,0,12.089,0,6.78344,0,6.65532,0,21.2458,0,30.1958,0,4.87665,0,21.5408
497.996,622.657,514.413,302.862,555.667,397,506.662,340.89,552.259,374.715,516.503,484.666,504.779,441.688,505.578,392.494,542.369,408.706,520.605,390.775
1193.15,1167.03,1232.48,981.058,1331.32,1118.56,1213.91,1029.36,1323.16,796.333,1237.49,1736.07,1209.4,744.811,1211.31,931.278,1299.46,924.059,1247.32,788.644
508.224,618.912,524.978,366.093,567.08,551.568,517.067,452.07,563.602,402.586,527.111,526.969,515.146,360.251,515.961,390.432,553.508,486.349,531.297,325.846
254.152,452.257,262.531,249.271,283.585,314.973,258.575,286.71,281.846,305.434,263.597,337.791,257.614,391.209,258.022,341.727,276.798,354.426,265.691,301.301
264.383,242.623,273.098,187.125,295,258.388,268.983,156.751,293.191,254.666,274.208,242.812,267.984,235.967,268.408,183.504,287.94,262.341,276.385,162.262
30.8028,102.551,31.8183,23.5455,34.37,26.4877,31.3388,21.6224,34.1592,20.011,31.9476,48.3701,31.2224,19.7066,31.2718,32.8368,33.5474,51.8119,32.2013,22.9309
545.53,2318.68,563.514,761.206,608.705,508.805,555.022,553.99,604.972,423.972,565.803,955.192,552.96,960.46,553.835,925.28,594.137,765.92,570.296,556.206
1267.27,180.179,1309.05,622.125,1414.03,459.618,1289.32,295.702,1405.36,613.425,1314.36,88.1318,1284.53,154.913,1286.56,151.988,1380.19,974.963,1324.8,50.4674
1603.89,178.622,1656.76,894.279,1789.63,542.52,1631.79,1008.68,1778.65,524.507,1663.49,164.904,1625.73,125.6,1628.3,897.995,1746.8,924.213,1676.7,390.232
93.7694,65.7155,96.8606,16.9319,104.628,22.3468,95.401,19.2883,103.987,8.00938,97.2541,30.0233,95.0466,48.6216,95.1969,45.3645,102.124,6.38936,98.0264,28.7305
0,2.37509,0,2.36784,0,4.32532,0,3.05596,0,2.28836,0,5.56861,0,1.75772,0,2.66648,0,1.9668,0,3.43254
4.14553,2.57639,4.28219,1.06115,4.6256,1.3635,4.21766,0.590095,4.59723,0.774978,4.29958,0.204408,4.20199,1.47936,4.20864,3.23619,4.5149,0,4.33373,1.03834
14.2305,7.59216,14.6996,4.74776,15.8785,9.19731,14.4781,4.01741,15.7811,6.82541,14.7593,8.67384,14.4243,19.5378,14.4471,7.24526,15.4984,7.39407,14.8765,7.58806
8.92638,16.5592,9.22065,8.76019,9.96011,8.94444,9.08171,14.2531,9.89903,13.5576,9.25811,13.4616,9.04797,33.6421,9.06228,12.5313,9.72174,14.9283,9.33163,14.4422
21.0258,31.4315,21.7189,17.5744,23.4607,15.9616,21.3917,32.5882,23.3168,20.299,21.8072,17.8898,21.3122,52.2092,21.3459,24.7771,22.8992,19.6727,21.9803,34.3996
1.69393,2.90537,1.74977,1.1921,1.8901,1.45603,1.7234,1.33392,1.8785,1.17084,1.75688,2.78154,1.717,3.72947,1.71972,1.78346,1.84486,1.15373,1.77083,3.19458
1.42426,3.17701,1.47121,3.26578,1.58919,1.39757,1.44904,2.72333,1.57945,2.38411,1.47718,3.13918,1.44365,1.21399,1.44594,8.11399,1.55116,1.33853,1.48892,0.798372
1.05508,2.81928,1.08986,2.73228,1.17726,1.26895,1.07344,3.98291,1.17004,3.07985,1.09429,4.11431,1.06945,4.45675,1.07114,1.42621,1.14909,2.0538,1.10298,3.5149
0.692779,1.35795,0.715617,3.16825,0.773007,1.37771,0.704833,0.965863,0.768266,2.40101,0.718524,1.95511,0.702215,4.50397,0.703325,1.1745,0.754507,3.07431,0.72423,4.13502
0,3.89303,0,0,0,0,0,1.68804,0,2.89665,0,21.5485,0,0,0,0,0,1.77662,0,4.17183
1.98924,1.30262,2.05482,0.691656,2.21961,0.722355,2.02385,2.78396,2.20599,1.35711,2.06316,1.99187,2.01633,0.463568,2.01952,1.88054,2.16648,1.47564,2.07955,1.78151
50.2794,23.6951,51.9369,32.5007,56.102,32.216,51.1542,17.9253,55.758,35.3054,52.1479,23.3381,50.9642,25.3108,51.0448,33.1998,54.7593,37.3042,52.562,37.4431
50.6384,19.5285,52.3077,30.3016,56.5026,18.6706,51.5195,18.927,56.1561,21.077,52.5202,17.6775,51.3281,22.8944,51.4093,23.1228,55.1503,31.0721,52.9373,17.9385
129.45,55.7455,133.717,79.7494,144.441,151.025,131.702,40.2346,143.555,161.176,134.261,91.8499,131.213,64.9578,131.421,97.0922,140.984,202.024,135.327,73.3735
124.137,61.7164,128.229,53.0181,138.512,63.4334,126.297,97.0235,137.663,103.394,128.75,103.101,125.827,166.369,126.026,80.7654,135.197,122.723,129.772,93.0692
244.663,181.723,252.729,223.482,272.997,260.388,248.921,328.041,271.323,235.215,253.756,325.303,247.996,365.13,248.388,223.307,266.463,312.165,255.771,254.884
318.548,215.894,329.049,234.891,355.438,365.18,324.091,318.475,353.258,364.972,330.386,384.477,322.887,453.721,323.398,255.402,346.931,425.675,333.01,278.961
211.456,97.3681,218.427,146.185,235.944,218.099,215.135,116.994,234.497,217.658,219.314,231.652,214.336,218.744,214.675,160.642,230.297,235.193,221.056,162.665
706.634,505.158,729.93,626.017,788.467,613.707,718.93,693.973,783.631,603.642,732.895,650.016,716.259,519.083,717.392,615.045,769.597,641.133,738.715,539.12
549.387,468.892,567.498,499.166,613.009,559.908,558.946,319.883,609.25,471.28,569.803,556.954,556.87,418.942,557.75,422.93,598.338,609.089,574.328,404.315
92.5959,121.273,95.6484,63.1379,103.319,86.8895,94.2071,78.9699,102.685,73.8325,96.0369,166.605,93.8571,93.8101,94.0055,112.997,100.846,95.6924,96.7996,121.488
33.9781,40.0948,35.0982,27.7956,37.913,34.6458,34.5693,29.6729,37.6804,54.2194,35.2408,15.2556,34.4409,68.4403,34.4954,29.7139,37.0056,37.4156,35.5206,51.9909
0,351.404,0,141.789,0,96.0534,0,94.388,0,138.876,0,34.0859,0,332.161,0,96.8882,0,137.463,0,201.261
97.6645,48.5765,100.884,75.3916,108.975,63.1584,99.3639,118.311,108.306,95.9544,101.294,48.5295,98.9948,15.7517,99.1514,100.652,106.367,71.3426,102.098,93.5463
107.931,56.6974,111.489,118.256,120.43,103.818,109.809,126.992,119.691,145.724,111.942,76.9333,109.401,30.2146,109.574,80.6511,117.548,123.217,112.831,56.9209
34.6387,28.306,35.7806,18.9894,38.65,21.7913,35.2414,31.443,38.413,17.407,35.9259,37.9038,35.1105,25.8017,35.166,47.0353,37.725,29.966,36.2112,39.5405
5.04733,13.5144,5.21372,3.75088,5.63184,3.46052,5.13515,3.12261,5.5973,1.21412,5.2349,10.6913,5.11608,4.18085,5.12417,4.23202,5.49705,4.32331,5.27647,4.26252
11.9741,36.0949,12.3688,8.06015,13.3607,10.284,12.1824,17.095,13.2788,5.19849,12.419,18.8683,12.1372,9.40882,12.1564,13.907,13.041,11.4113,12.5177,9.67038
4.90615,23.4332,5.06789,4.91269,5.47431,4.38527,4.99152,7.256,5.44074,6.16502,5.08847,6.25119,4.97297,3.62108,4.98084,9.81242,5.34329,5.15123,5.12888,5.92186
71.1548,137.371,73.5005,108.976,79.395,62.9724,72.3929,152.558,78.9081,59.7742,73.7991,58.9483,72.124,36.862,72.2381,122.934,77.4948,91.8814,74.3852,118.043
25.9553,33.7311,26.8109,23.6495,28.961,24.7045,26.4069,24.1519,28.7834,31.5799,26.9198,11.1985,26.3088,22.0795,26.3504,25.3401,28.2679,30.5763,27.1336,22.5819
90.198,15.2595,93.1715,43.191,100.643,81.7868,91.7675,74.5057,100.026,88.7204,93.55,27.1753,91.4265,29.4401,91.5711,32.3955,98.2348,89.0077,94.2929,21.1905
53.9562,7.27934,55.7349,37.4577,60.2047,65.7158,54.8951,22.6437,59.8354,60.2896,55.9614,13.1784,54.6911,18.7546,54.7776,8.76956,58.7638,54.3856,56.4058,9.8261
346.182,68.4701,357.594,225.515,386.272,237.243,352.206,85.9069,383.903,311.514,359.047,40.0303,350.897,72.4281,351.452,71.8743,377.028,401.946,361.898,58.8058
51.1753,38.07,52.8624,50.636,57.1017,44.9932,52.0658,62.4766,56.7515,43.0958,53.0771,40.0134,51.8724,41.7761,51.9544,55.4021,55.7351,45.7185,53.4986,63.8018
27.1676,35.6858,28.0632,13.5791,30.3138,20.7995,27.6404,22.1288,30.1279,14.0877,28.1772,23.618,27.5377,29.437,27.5812,20.4045,29.5883,13.8196,28.401,23.2159
1442.4,1296.39,1489.95,2210.72,1609.44,1253.83,1467.5,1460.56,1599.57,1208.22,1496,782.791,1462.04,645.172,1464.36,2020.24,1570.92,1249.23,1507.88,1336.23
1605.85,1514.62,1658.79,2861.78,1791.82,1773.8,1633.79,1588.77,1780.83,1362.12,1665.53,1160.5,1627.72,687.966,1630.3,2295.95,1748.94,1316.64,1678.76,1411.83
