Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE2 at 42C, ALE3 at 42C, ALE8 at 42C	26.23	0.60	0.38
ALE2 at 42C, ALE3 at 42C, ALE9 at 42C	46.36	0.55	0.39
ALE2 at 42C, ALE3 at 42C, ALE10 at 42C	34.12	0.59	0.35
ALE2 at 42C, ALE4 at 42C, ALE5 at 42C	41.47	0.54	0.37
ALE2 at 42C, ALE4 at 42C, ALE6 at 42C	24.29	0.88	0.39
ALE2 at 42C, ALE4 at 42C, ALE7 at 42C	26.23	0.77	0.36
ALE2 at 42C, ALE4 at 42C, ALE8 at 42C	29.19	0.70	0.38
ALE2 at 42C, ALE4 at 42C, ALE9 at 42C	38.63	0.65	0.39
ALE2 at 42C, ALE4 at 42C, ALE10 at 42C	36.27	0.65	0.37
ALE2 at 42C, ALE5 at 42C, ALE6 at 42C	22.69	0.67	0.36
ALE2 at 42C, ALE5 at 42C, ALE7 at 42C	29.92	0.64	0.35
ALE2 at 42C, ALE5 at 42C, ALE8 at 42C	27.29	0.55	0.36
ALE2 at 42C, ALE5 at 42C, ALE9 at 42C	50.00	0.50	0.37
ALE2 at 42C, ALE5 at 42C, ALE10 at 42C	37.80	0.53	0.34
ALE2 at 42C, ALE6 at 42C, ALE7 at 42C	16.56	1.09	0.41
ALE2 at 42C, ALE6 at 42C, ALE8 at 42C	22.32	0.94	0.41
ALE2 at 42C, ALE6 at 42C, ALE9 at 42C	22.15	0.84	0.39
ALE2 at 42C, ALE6 at 42C, ALE10 at 42C	22.09	0.89	0.39
ALE2 at 42C, ALE7 at 42C, ALE8 at 42C	18.25	0.83	0.39
ALE2 at 42C, ALE7 at 42C, ALE9 at 42C	27.84	0.74	0.37
ALE2 at 42C, ALE7 at 42C, ALE10 at 42C	26.97	0.81	0.38
ALE2 at 42C, ALE8 at 42C, ALE9 at 42C	24.36	0.66	0.39
ALE2 at 42C, ALE8 at 42C, ALE10 at 42C	27.02	0.69	0.38
ALE2 at 42C, ALE9 at 42C, ALE10 at 42C	35.44	0.63	0.36
ALE3 at 42C, ALE4 at 42C, ALE5 at 42C	40.49	0.55	0.39
ALE3 at 42C, ALE4 at 42C, ALE6 at 42C	22.87	0.91	0.42
ALE3 at 42C, ALE4 at 42C, ALE7 at 42C	26.52	0.81	0.38
ALE3 at 42C, ALE4 at 42C, ALE8 at 42C	26.25	0.69	0.39
ALE3 at 42C, ALE4 at 42C, ALE9 at 42C	38.11	0.65	0.39
ALE3 at 42C, ALE4 at 42C, ALE10 at 42C	35.31	0.66	0.37
ALE3 at 42C, ALE5 at 42C, ALE6 at 42C	24.18	0.70	0.37
ALE3 at 42C, ALE5 at 42C, ALE7 at 42C	30.72	0.63	0.35
ALE3 at 42C, ALE5 at 42C, ALE8 at 42C	26.98	0.58	0.37
ALE3 at 42C, ALE5 at 42C, ALE9 at 42C	51.10	0.48	0.36
ALE3 at 42C, ALE5 at 42C, ALE10 at 42C	37.26	0.53	0.36
ALE3 at 42C, ALE6 at 42C, ALE7 at 42C	18.85	1.12	0.41
ALE3 at 42C, ALE6 at 42C, ALE8 at 42C	21.26	0.95	0.41
ALE3 at 42C, ALE6 at 42C, ALE9 at 42C	24.37	0.82	0.39
ALE3 at 42C, ALE6 at 42C, ALE10 at 42C	22.13	0.91	0.40
ALE3 at 42C, ALE7 at 42C, ALE8 at 42C	19.66	0.84	0.38
ALE3 at 42C, ALE7 at 42C, ALE9 at 42C	27.80	0.73	0.38
ALE3 at 42C, ALE7 at 42C, ALE10 at 42C	27.10	0.81	0.37
ALE3 at 42C, ALE8 at 42C, ALE9 at 42C	24.94	0.65	0.40
ALE3 at 42C, ALE8 at 42C, ALE10 at 42C	25.66	0.69	0.38
ALE3 at 42C, ALE9 at 42C, ALE10 at 42C	33.93	0.65	0.38
ALE4 at 42C, ALE5 at 42C, ALE6 at 42C	22.74	0.82	0.40
ALE4 at 42C, ALE5 at 42C, ALE7 at 42C	27.51	0.74	0.36
ALE4 at 42C, ALE5 at 42C, ALE8 at 42C	28.13	0.63	0.38
ALE4 at 42C, ALE5 at 42C, ALE9 at 42C	38.73	0.56	0.36
ALE4 at 42C, ALE5 at 42C, ALE10 at 42C	36.73	0.62	0.37
ALE4 at 42C, ALE6 at 42C, ALE7 at 42C	26.24	1.30	0.42
ALE4 at 42C, ALE6 at 42C, ALE8 at 42C	34.87	1.11	0.43
ALE4 at 42C, ALE6 at 42C, ALE9 at 42C	22.60	1.00	0.43
ALE4 at 42C, ALE6 at 42C, ALE10 at 42C	34.27	1.10	0.43
ALE4 at 42C, ALE7 at 42C, ALE8 at 42C	28.75	0.99	0.41
ALE4 at 42C, ALE7 at 42C, ALE9 at 42C	24.73	0.87	0.38
ALE4 at 42C, ALE7 at 42C, ALE10 at 42C	36.80	0.99	0.40
ALE4 at 42C, ALE8 at 42C, ALE9 at 42C	24.51	0.75	0.40
ALE4 at 42C, ALE8 at 42C, ALE10 at 42C	43.14	0.81	0.38
ALE4 at 42C, ALE9 at 42C, ALE10 at 42C	32.46	0.71	0.39
