Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE2 at 42C, ALE3 at 42C, ALE8 at 42C	27.45	1.12	0.51
ALE2 at 42C, ALE3 at 42C, ALE9 at 42C	46.63	0.95	0.48
ALE2 at 42C, ALE3 at 42C, ALE10 at 42C	35.07	1.20	0.51
ALE2 at 42C, ALE4 at 42C, ALE5 at 42C	42.22	1.10	0.52
ALE2 at 42C, ALE4 at 42C, ALE6 at 42C	25.21	1.79	0.57
ALE2 at 42C, ALE4 at 42C, ALE7 at 42C	29.28	1.83	0.55
ALE2 at 42C, ALE4 at 42C, ALE8 at 42C	29.63	1.41	0.52
ALE2 at 42C, ALE4 at 42C, ALE9 at 42C	39.11	1.18	0.51
ALE2 at 42C, ALE4 at 42C, ALE10 at 42C	36.48	1.44	0.57
ALE2 at 42C, ALE5 at 42C, ALE6 at 42C	24.90	1.41	0.51
ALE2 at 42C, ALE5 at 42C, ALE7 at 42C	33.44	1.44	0.50
ALE2 at 42C, ALE5 at 42C, ALE8 at 42C	28.76	1.12	0.52
ALE2 at 42C, ALE5 at 42C, ALE9 at 42C	50.27	0.96	0.51
ALE2 at 42C, ALE5 at 42C, ALE10 at 42C	38.75	1.15	0.53
ALE2 at 42C, ALE6 at 42C, ALE7 at 42C	18.71	2.47	0.59
ALE2 at 42C, ALE6 at 42C, ALE8 at 42C	23.05	1.83	0.56
ALE2 at 42C, ALE6 at 42C, ALE9 at 42C	24.09	1.53	0.54
ALE2 at 42C, ALE6 at 42C, ALE10 at 42C	22.98	1.92	0.56
ALE2 at 42C, ALE7 at 42C, ALE8 at 42C	21.26	1.93	0.55
ALE2 at 42C, ALE7 at 42C, ALE9 at 42C	30.49	1.57	0.53
ALE2 at 42C, ALE7 at 42C, ALE10 at 42C	28.89	1.99	0.56
ALE2 at 42C, ALE8 at 42C, ALE9 at 42C	26.00	1.20	0.51
ALE2 at 42C, ALE8 at 42C, ALE10 at 42C	28.08	1.51	0.55
ALE2 at 42C, ALE9 at 42C, ALE10 at 42C	36.59	1.27	0.53
