Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE2 at 42C,ALE3 at 42C,ALE8 at 42C	2.67	0.07	0.13
ALE2 at 42C,ALE3 at 42C,ALE9 at 42C	7.73	0.07	0.14
ALE2 at 42C,ALE3 at 42C,ALE10 at 42C	4.74	0.06	0.12
ALE2 at 42C,ALE4 at 42C,ALE5 at 42C	5.71	0.05	0.11
ALE2 at 42C,ALE4 at 42C,ALE6 at 42C	2.39	0.09	0.13
ALE2 at 42C,ALE4 at 42C,ALE7 at 42C	2.51	0.08	0.12
ALE2 at 42C,ALE4 at 42C,ALE8 at 42C	3.29	0.08	0.13
ALE2 at 42C,ALE4 at 42C,ALE9 at 42C	5.25	0.08	0.14
ALE2 at 42C,ALE4 at 42C,ALE10 at 42C	6.01	0.08	0.13
ALE2 at 42C,ALE5 at 42C,ALE6 at 42C	2.41	0.07	0.12
ALE2 at 42C,ALE5 at 42C,ALE7 at 42C	4.50	0.06	0.11
ALE2 at 42C,ALE5 at 42C,ALE8 at 42C	3.66	0.07	0.13
ALE2 at 42C,ALE5 at 42C,ALE9 at 42C	6.42	0.06	0.13
ALE2 at 42C,ALE5 at 42C,ALE10 at 42C	7.13	0.06	0.12
ALE2 at 42C,ALE6 at 42C,ALE7 at 42C	0.92	0.10	0.13
ALE2 at 42C,ALE6 at 42C,ALE8 at 42C	3.09	0.10	0.13
ALE2 at 42C,ALE6 at 42C,ALE9 at 42C	4.86	0.09	0.13
ALE2 at 42C,ALE6 at 42C,ALE10 at 42C	2.49	0.09	0.13
ALE2 at 42C,ALE7 at 42C,ALE8 at 42C	1.06	0.08	0.12
ALE2 at 42C,ALE7 at 42C,ALE9 at 42C	2.65	0.08	0.12
ALE2 at 42C,ALE7 at 42C,ALE10 at 42C	2.09	0.08	0.11
ALE2 at 42C,ALE8 at 42C,ALE9 at 42C	3.51	0.09	0.15
ALE2 at 42C,ALE8 at 42C,ALE10 at 42C	2.74	0.08	0.13
ALE2 at 42C,ALE9 at 42C,ALE10 at 42C	4.80	0.09	0.14
ALE3 at 42C,ALE4 at 42C,ALE5 at 42C	5.35	0.06	0.12
ALE3 at 42C,ALE4 at 42C,ALE6 at 42C	0.94	0.09	0.13
ALE3 at 42C,ALE4 at 42C,ALE7 at 42C	2.38	0.07	0.11
ALE3 at 42C,ALE4 at 42C,ALE8 at 42C	2.47	0.07	0.13
ALE3 at 42C,ALE4 at 42C,ALE9 at 42C	4.64	0.07	0.13
ALE3 at 42C,ALE4 at 42C,ALE10 at 42C	5.26	0.07	0.12
ALE3 at 42C,ALE5 at 42C,ALE6 at 42C	2.05	0.07	0.11
ALE3 at 42C,ALE5 at 42C,ALE7 at 42C	2.79	0.06	0.10
ALE3 at 42C,ALE5 at 42C,ALE8 at 42C	2.50	0.05	0.11
ALE3 at 42C,ALE5 at 42C,ALE9 at 42C	6.32	0.06	0.13
ALE3 at 42C,ALE5 at 42C,ALE10 at 42C	4.63	0.06	0.12
ALE3 at 42C,ALE6 at 42C,ALE7 at 42C	1.09	0.09	0.11
ALE3 at 42C,ALE6 at 42C,ALE8 at 42C	2.22	0.09	0.13
ALE3 at 42C,ALE6 at 42C,ALE9 at 42C	2.38	0.08	0.12
ALE3 at 42C,ALE6 at 42C,ALE10 at 42C	2.00	0.09	0.13
ALE3 at 42C,ALE7 at 42C,ALE8 at 42C	1.98	0.07	0.11
ALE3 at 42C,ALE7 at 42C,ALE9 at 42C	2.12	0.07	0.12
ALE3 at 42C,ALE7 at 42C,ALE10 at 42C	3.36	0.07	0.11
ALE3 at 42C,ALE8 at 42C,ALE9 at 42C	2.40	0.08	0.13
ALE3 at 42C,ALE8 at 42C,ALE10 at 42C	2.80	0.07	0.12
ALE3 at 42C,ALE9 at 42C,ALE10 at 42C	4.91	0.07	0.13
ALE4 at 42C,ALE5 at 42C,ALE6 at 42C	3.20	0.08	0.12
ALE4 at 42C,ALE5 at 42C,ALE7 at 42C	2.93	0.06	0.11
ALE4 at 42C,ALE5 at 42C,ALE8 at 42C	3.15	0.07	0.12
ALE4 at 42C,ALE5 at 42C,ALE9 at 42C	5.39	0.06	0.12
ALE4 at 42C,ALE5 at 42C,ALE10 at 42C	7.70	0.07	0.12
ALE4 at 42C,ALE6 at 42C,ALE7 at 42C	2.48	0.12	0.13
ALE4 at 42C,ALE6 at 42C,ALE8 at 42C	4.27	0.11	0.13
ALE4 at 42C,ALE6 at 42C,ALE9 at 42C	3.28	0.11	0.14
ALE4 at 42C,ALE6 at 42C,ALE10 at 42C	4.20	0.11	0.14
ALE4 at 42C,ALE7 at 42C,ALE8 at 42C	3.84	0.10	0.13
ALE4 at 42C,ALE7 at 42C,ALE9 at 42C	2.49	0.09	0.13
ALE4 at 42C,ALE7 at 42C,ALE10 at 42C	5.75	0.09	0.13
ALE4 at 42C,ALE8 at 42C,ALE9 at 42C	3.04	0.09	0.14
ALE4 at 42C,ALE8 at 42C,ALE10 at 42C	8.47	0.09	0.14
