Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)	D Value
KCl-KCl-5,Mal-Mal-5	0.0	0.2	1.2	-0.14
KCl-KCl-1,MCL-MCL-1	11.5	0.4	1.0	11.34
KCl-KCl-1,MCL-MCL-2	0.0	0.3	0.9	-0.33
KCl-KCl-1,MCL-MCL-3	6.6	0.4	0.9	6.73
KCl-KCl-1,MCL-MCL-4	9.3	0.7	1.1	7.85
KCl-KCl-1,MCL-MCL-5	18.2	0.4	1.0	18.52
KCl-KCl-2,MCL-MCL-1	0.0	0.3	1.1	-0.24
KCl-KCl-2,MCL-MCL-2	6.2	0.1	1.0	6.25
KCl-KCl-2,MCL-MCL-3	0.0	0.2	1.0	-0.23
KCl-KCl-2,MCL-MCL-4	0.0	0.3	1.0	-0.32
KCl-KCl-2,MCL-MCL-5	4.7	0.4	1.2	3.44
KCl-KCl-3,MCL-MCL-1	0.0	0.2	1.0	-0.23
KCl-KCl-3,MCL-MCL-2	0.0	0.2	0.9	-0.18
KCl-KCl-3,MCL-MCL-3	0.0	0.3	1.0	-0.28
KCl-KCl-3,MCL-MCL-4	0.0	0.4	1.0	-0.34
KCl-KCl-3,MCL-MCL-5	0.0	0.2	0.9	-0.23
KCl-KCl-4,MCL-MCL-1	8.9	0.2	1.0	8.61
KCl-KCl-4,MCL-MCL-2	0.0	0.2	1.0	-0.17
KCl-KCl-4,MCL-MCL-3	4.1	0.3	1.1	3.30
KCl-KCl-4,MCL-MCL-4	3.0	0.3	0.9	3.05
KCl-KCl-4,MCL-MCL-5	0.0	0.3	1.1	-0.25
KCl-KCl-5,MCL-MCL-1	0.0	0.2	1.1	-0.20
KCl-KCl-5,MCL-MCL-2	0.0	0.2	1.2	-0.17
KCl-KCl-5,MCL-MCL-3	0.0	0.2	1.1	-0.22
KCl-KCl-5,MCL-MCL-4	6.8	0.3	1.0	6.64
KCl-KCl-5,MCL-MCL-5	0.0	0.3	1.2	-0.22
KCl-KCl-1,Cro-Cro-1	9.8	0.7	1.1	8.53
KCl-KCl-1,Cro-Cro-2	4.8	0.7	1.1	3.93
KCl-KCl-1,Cro-Cro-3	6.9	0.3	0.9	7.24
KCl-KCl-1,Cro-Cro-4	6.8	0.7	1.0	5.90
KCl-KCl-1,Cro-Cro-5	8.2	0.5	1.0	7.46
KCl-KCl-2,Cro-Cro-1	10.3	0.3	0.9	10.70
KCl-KCl-2,Cro-Cro-2	7.6	0.3	0.9	8.06
KCl-KCl-2,Cro-Cro-3	14.3	0.3	1.1	12.33
KCl-KCl-2,Cro-Cro-4	8.3	0.3	0.9	8.79
KCl-KCl-2,Cro-Cro-5	11.3	0.3	1.1	10.36
KCl-KCl-3,Cro-Cro-1	16.7	0.4	1.0	16.21
KCl-KCl-3,Cro-Cro-2	9.4	0.4	1.0	9.02
KCl-KCl-3,Cro-Cro-3	16.7	0.3	1.1	15.59
KCl-KCl-3,Cro-Cro-4	10.3	0.4	1.0	10.31
KCl-KCl-3,Cro-Cro-5	16.9	0.2	0.9	18.91
KCl-KCl-4,Cro-Cro-1	9.9	0.3	0.9	10.07
KCl-KCl-4,Cro-Cro-2	9.8	0.3	0.9	10.50
KCl-KCl-4,Cro-Cro-3	17.8	0.2	1.0	17.92
KCl-KCl-4,Cro-Cro-4	10.7	0.4	1.1	9.72
KCl-KCl-4,Cro-Cro-5	14.3	0.3	1.0	13.39
KCl-KCl-5,Cro-Cro-1	2.7	0.3	0.9	2.86
KCl-KCl-5,Cro-Cro-2	5.3	0.2	0.8	6.62
KCl-KCl-5,Cro-Cro-3	5.3	0.2	1.1	4.78
KCl-KCl-5,Cro-Cro-4	2.9	0.3	0.9	3.05
KCl-KCl-5,Cro-Cro-5	4.1	0.3	1.1	3.44
KCl-KCl-1,MG-MG-1	32.8	0.6	1.0	33.17
KCl-KCl-1,MG-MG-2	37.6	0.5	1.0	38.65
KCl-KCl-1,MG-MG-3	35.6	0.4	0.8	42.13
KCl-KCl-1,MG-MG-4	30.2	0.6	1.1	27.53
KCl-KCl-1,MG-MG-5	39.2	0.4	0.9	43.50
KCl-KCl-2,MG-MG-1	0.0	0.2	0.8	-0.30
KCl-KCl-2,MG-MG-2	0.0	0.1	0.7	-0.20
KCl-KCl-2,MG-MG-3	0.0	0.2	0.8	-0.22
KCl-KCl-2,MG-MG-4	3.3	0.3	1.0	3.10
KCl-KCl-2,MG-MG-5	0.0	0.2	0.8	-0.21
KCl-KCl-3,MG-MG-1	33.8	0.5	1.1	30.89
KCl-KCl-3,MG-MG-2	41.9	0.4	1.1	39.39
KCl-KCl-3,MG-MG-3	41.9	0.4	1.1	37.10
KCl-KCl-3,MG-MG-4	38.8	0.4	1.0	37.19
KCl-KCl-3,MG-MG-5	44.8	0.4	1.2	38.03
KCl-KCl-4,MG-MG-1	0.0	0.3	0.9	-0.33
KCl-KCl-4,MG-MG-2	0.0	0.4	1.1	-0.35
KCl-KCl-4,MG-MG-3	0.0	0.3	1.0	-0.29
KCl-KCl-4,MG-MG-4	0.0	0.3	1.0	-0.34
KCl-KCl-4,MG-MG-5	0.0	0.3	1.1	-0.28
KCl-KCl-5,MG-MG-1	3.0	0.2	0.8	3.30
KCl-KCl-5,MG-MG-2	0.0	0.2	0.8	-0.22
KCl-KCl-5,MG-MG-3	0.0	0.2	0.8	-0.22
KCl-KCl-5,MG-MG-4	10.5	0.2	0.9	10.84
KCl-KCl-5,MG-MG-5	0.0	0.1	0.7	-0.18
KCl-KCl-1,BuOH-BuOH-1	33.0	0.5	1.0	33.57
KCl-KCl-1,BuOH-BuOH-2	16.7	0.5	1.0	15.73
KCl-KCl-1,BuOH-BuOH-3	12.4	0.5	1.0	11.47
KCl-KCl-1,BuOH-BuOH-4	2.5	0.3	0.9	2.52
KCl-KCl-1,BuOH-BuOH-5	19.2	0.6	1.1	17.00
KCl-KCl-2,BuOH-BuOH-1	3.8	0.3	1.0	3.46
KCl-KCl-2,BuOH-BuOH-2	3.9	0.3	1.1	3.28
KCl-KCl-2,BuOH-BuOH-3	3.8	0.3	1.1	3.05
KCl-KCl-2,BuOH-BuOH-4	0.0	0.3	1.2	-0.22
KCl-KCl-2,BuOH-BuOH-5	3.4	0.4	1.2	2.60
KCl-KCl-3,BuOH-BuOH-1	31.0	0.3	1.1	29.16
KCl-KCl-3,BuOH-BuOH-2	0.0	0.3	1.0	-0.27
KCl-KCl-3,BuOH-BuOH-3	13.8	0.3	1.0	13.02
KCl-KCl-3,BuOH-BuOH-4	0.0	0.2	1.1	-0.22
KCl-KCl-3,BuOH-BuOH-5	0.0	0.3	1.0	-0.30
KCl-KCl-4,BuOH-BuOH-1	0.0	0.3	1.0	-0.28
KCl-KCl-4,BuOH-BuOH-2	0.0	0.3	1.0	-0.29
KCl-KCl-4,BuOH-BuOH-3	0.0	0.3	1.0	-0.27
KCl-KCl-4,BuOH-BuOH-4	0.0	0.2	1.0	-0.19
KCl-KCl-4,BuOH-BuOH-5	0.0	0.3	1.1	-0.33
KCl-KCl-5,BuOH-BuOH-1	0.0	0.2	0.9	-0.22
KCl-KCl-5,BuOH-BuOH-2	0.0	0.3	1.1	-0.25
KCl-KCl-5,BuOH-BuOH-3	0.0	0.2	1.0	-0.24
KCl-KCl-5,BuOH-BuOH-4	0.0	0.2	1.0	-0.16
KCl-KCl-5,BuOH-BuOH-5	0.0	0.3	1.0	-0.27
KCl-KCl-1,CPC-CPC-1	0.0	0.2	0.6	-0.24
KCl-KCl-1,CPC-CPC-2	12.8	0.4	1.0	12.13
KCl-KCl-1,CPC-CPC-3	12.9	0.5	1.0	12.05
KCl-KCl-1,CPC-CPC-4	6.5	0.4	0.9	7.14
KCl-KCl-1,CPC-CPC-5	10.6	0.4	0.9	11.47
KCl-KCl-2,CPC-CPC-1	0.0	0.1	1.0	-0.14
KCl-KCl-2,CPC-CPC-2	0.0	0.2	0.9	-0.23
KCl-KCl-2,CPC-CPC-3	0.0	0.3	1.0	-0.25
KCl-KCl-2,CPC-CPC-4	0.0	0.2	1.0	-0.23
KCl-KCl-2,CPC-CPC-5	0.0	0.2	0.8	-0.20
KCl-KCl-3,CPC-CPC-1	0.0	0.2	0.9	-0.16
KCl-KCl-3,CPC-CPC-2	21.8	0.3	1.0	22.18
KCl-KCl-3,CPC-CPC-3	22.2	0.3	1.0	20.91
KCl-KCl-3,CPC-CPC-4	11.1	0.4	1.2	8.76
KCl-KCl-3,CPC-CPC-5	18.2	0.4	1.2	15.06
KCl-KCl-4,CPC-CPC-1	0.0	0.1	1.0	-0.15
KCl-KCl-4,CPC-CPC-2	3.8	0.3	1.1	3.37
KCl-KCl-4,CPC-CPC-3	0.0	0.2	1.0	-0.24
KCl-KCl-4,CPC-CPC-4	0.0	0.3	1.1	-0.28
KCl-KCl-4,CPC-CPC-5	0.0	0.2	1.0	-0.25
KCl-KCl-5,CPC-CPC-1	0.0	0.1	0.9	-0.10
KCl-KCl-5,CPC-CPC-2	13.3	0.2	0.9	14.75
KCl-KCl-5,CPC-CPC-3	4.5	0.2	1.0	4.31
KCl-KCl-5,CPC-CPC-4	4.5	0.2	0.9	5.03
KCl-KCl-5,CPC-CPC-5	0.0	0.2	0.9	-0.21
CoCl2-CoCl2-1,Na2CO3-Na2CO3-1	2.0	0.5	1.0	1.48
CoCl2-CoCl2-1,Na2CO3-Na2CO3-2	2.4	0.5	1.1	1.81
CoCl2-CoCl2-1,Na2CO3-Na2CO3-3	6.2	0.6	1.1	5.18
CoCl2-CoCl2-1,Na2CO3-Na2CO3-4	7.1	0.6	1.2	5.53
CoCl2-CoCl2-1,Na2CO3-Na2CO3-5	2.3	0.5	1.0	1.73
CoCl2-CoCl2-2,Na2CO3-Na2CO3-1	2.6	0.3	0.8	2.75
CoCl2-CoCl2-2,Na2CO3-Na2CO3-2	3.4	0.2	0.8	4.19
CoCl2-CoCl2-2,Na2CO3-Na2CO3-3	5.6	0.2	0.8	6.74
CoCl2-CoCl2-2,Na2CO3-Na2CO3-4	6.7	0.3	0.9	6.93
CoCl2-CoCl2-2,Na2CO3-Na2CO3-5	3.2	0.2	0.9	3.32
CoCl2-CoCl2-3,Na2CO3-Na2CO3-1	2.1	0.5	1.0	1.54
CoCl2-CoCl2-3,Na2CO3-Na2CO3-2	2.7	0.5	1.2	1.85
CoCl2-CoCl2-3,Na2CO3-Na2CO3-3	4.5	0.5	1.1	3.59
CoCl2-CoCl2-3,Na2CO3-Na2CO3-4	10.4	0.4	1.0	9.82
CoCl2-CoCl2-3,Na2CO3-Na2CO3-5	2.5	0.4	1.0	2.03
CoCl2-CoCl2-4,Na2CO3-Na2CO3-1	4.2	0.5	1.0	3.65
CoCl2-CoCl2-4,Na2CO3-Na2CO3-2	5.3	0.5	1.1	4.20
CoCl2-CoCl2-4,Na2CO3-Na2CO3-3	4.4	0.6	1.1	3.68
CoCl2-CoCl2-4,Na2CO3-Na2CO3-4	7.7	0.5	1.1	6.34
CoCl2-CoCl2-4,Na2CO3-Na2CO3-5	2.5	0.5	1.1	1.75
CoCl2-CoCl2-5,Na2CO3-Na2CO3-1	2.1	0.5	1.0	1.67
CoCl2-CoCl2-5,Na2CO3-Na2CO3-2	2.7	0.5	1.1	1.94
CoCl2-CoCl2-5,Na2CO3-Na2CO3-3	4.5	0.6	1.2	3.34
CoCl2-CoCl2-5,Na2CO3-Na2CO3-4	10.4	0.5	1.1	8.78
CoCl2-CoCl2-5,Na2CO3-Na2CO3-5	2.5	0.5	1.1	1.89
CoCl2-CoCl2-1,Lac-Lac-1	4.3	0.2	0.9	4.78
CoCl2-CoCl2-1,Lac-Lac-2	8.3	0.1	0.8	10.39
CoCl2-CoCl2-1,Lac-Lac-3	7.5	0.2	0.9	8.29
CoCl2-CoCl2-1,Lac-Lac-4	7.7	0.2	0.9	8.67
CoCl2-CoCl2-1,Lac-Lac-5	5.7	0.4	1.1	5.01
CoCl2-CoCl2-2,Lac-Lac-1	8.7	0.1	0.9	9.95
CoCl2-CoCl2-2,Lac-Lac-2	8.3	0.1	1.0	7.84
CoCl2-CoCl2-2,Lac-Lac-3	6.9	0.2	1.0	6.52
CoCl2-CoCl2-2,Lac-Lac-4	14.3	0.1	1.0	14.14
CoCl2-CoCl2-2,Lac-Lac-5	8.7	0.2	1.0	8.23
CoCl2-CoCl2-3,Lac-Lac-1	5.0	0.2	0.9	5.10
CoCl2-CoCl2-3,Lac-Lac-2	4.9	0.1	0.8	5.69
CoCl2-CoCl2-3,Lac-Lac-3	4.3	0.3	1.1	3.73
CoCl2-CoCl2-3,Lac-Lac-4	8.9	0.2	0.9	10.00
CoCl2-CoCl2-3,Lac-Lac-5	6.3	0.4	1.1	5.55
CoCl2-CoCl2-4,Lac-Lac-1	0.0	0.2	0.9	-0.19
CoCl2-CoCl2-4,Lac-Lac-2	0.0	0.1	0.6	-0.13
CoCl2-CoCl2-4,Lac-Lac-3	0.0	0.3	1.1	-0.24
CoCl2-CoCl2-4,Lac-Lac-4	4.3	0.2	0.9	4.90
CoCl2-CoCl2-4,Lac-Lac-5	6.2	0.3	1.0	5.79
CoCl2-CoCl2-5,Lac-Lac-1	5.0	0.2	0.9	5.33
CoCl2-CoCl2-5,Lac-Lac-2	4.9	0.1	0.7	6.52
CoCl2-CoCl2-5,Lac-Lac-3	4.3	0.3	1.1	3.86
CoCl2-CoCl2-5,Lac-Lac-4	8.9	0.1	0.7	12.40
CoCl2-CoCl2-5,Lac-Lac-5	6.3	0.3	1.0	6.01
CoCl2-CoCl2-1,Mal-Mal-1	0.0	0.1	0.7	-0.16
CoCl2-CoCl2-1,Mal-Mal-2	0.0	0.0	0.5	-0.10
CoCl2-CoCl2-1,Mal-Mal-3	7.1	0.3	0.9	7.29
CoCl2-CoCl2-1,Mal-Mal-4	0.0	0.0	0.5	-0.10
CoCl2-CoCl2-1,Mal-Mal-5	0.0	0.2	0.9	-0.19
CoCl2-CoCl2-2,Mal-Mal-1	0.0	0.1	0.8	-0.09
CoCl2-CoCl2-2,Mal-Mal-2	0.0	0.0	0.4	-0.03
CoCl2-CoCl2-2,Mal-Mal-3	0.0	0.2	1.2	-0.18
CoCl2-CoCl2-2,Mal-Mal-4	0.0	0.0	0.6	-0.05
CoCl2-CoCl2-2,Mal-Mal-5	0.0	0.1	1.0	-0.11
CoCl2-CoCl2-3,Mal-Mal-1	0.0	0.1	0.8	-0.16
CoCl2-CoCl2-3,Mal-Mal-2	0.0	0.0	0.2	-0.03
CoCl2-CoCl2-3,Mal-Mal-3	0.0	0.3	1.0	-0.25
CoCl2-CoCl2-3,Mal-Mal-4	0.0	0.0	0.4	-0.06
CoCl2-CoCl2-3,Mal-Mal-5	0.0	0.1	0.8	-0.16
CoCl2-CoCl2-4,Mal-Mal-1	0.0	0.2	0.9	-0.19
CoCl2-CoCl2-4,Mal-Mal-2	0.0	0.0	0.0	0.00
CoCl2-CoCl2-4,Mal-Mal-3	0.0	0.3	1.0	-0.26
CoCl2-CoCl2-4,Mal-Mal-4	0.0	0.0	0.2	-0.03
CoCl2-CoCl2-4,Mal-Mal-5	0.0	0.1	0.8	-0.16
CoCl2-CoCl2-5,Mal-Mal-1	0.0	0.1	0.6	-0.11
CoCl2-CoCl2-5,Mal-Mal-2	0.0	0.0	0.0	0.00
CoCl2-CoCl2-5,Mal-Mal-3	0.0	0.3	1.1	-0.28
CoCl2-CoCl2-5,Mal-Mal-4	0.0	0.0	0.0	0.00
CoCl2-CoCl2-5,Mal-Mal-5	0.0	0.1	0.8	-0.16
CoCl2-CoCl2-1,MCL-MCL-1	3.3	0.2	0.8	3.62
CoCl2-CoCl2-1,MCL-MCL-2	3.9	0.2	0.9	4.11
CoCl2-CoCl2-1,MCL-MCL-3	0.0	0.3	1.0	-0.33
CoCl2-CoCl2-1,MCL-MCL-4	4.9	0.4	1.0	4.32
CoCl2-CoCl2-1,MCL-MCL-5	3.2	0.3	0.9	3.20
CoCl2-CoCl2-2,MCL-MCL-1	5.4	0.2	1.0	5.03
CoCl2-CoCl2-2,MCL-MCL-2	0.0	0.2	1.1	-0.16
CoCl2-CoCl2-2,MCL-MCL-3	0.0	0.2	0.9	-0.20
CoCl2-CoCl2-2,MCL-MCL-4	3.4	0.2	0.9	3.44
CoCl2-CoCl2-2,MCL-MCL-5	5.3	0.2	1.0	4.97
CoCl2-CoCl2-3,MCL-MCL-1	0.0	0.2	0.8	-0.22
CoCl2-CoCl2-3,MCL-MCL-2	4.5	0.1	0.8	5.41
CoCl2-CoCl2-3,MCL-MCL-3	0.0	0.3	1.1	-0.31
CoCl2-CoCl2-3,MCL-MCL-4	5.3	0.3	0.9	5.40
CoCl2-CoCl2-3,MCL-MCL-5	0.0	0.2	0.8	-0.20
CoCl2-CoCl2-4,MCL-MCL-1	0.0	0.3	1.0	-0.27
CoCl2-CoCl2-4,MCL-MCL-2	4.4	0.2	1.0	4.27
CoCl2-CoCl2-4,MCL-MCL-3	0.0	0.4	1.1	-0.31
CoCl2-CoCl2-4,MCL-MCL-4	5.3	0.4	1.1	4.57
CoCl2-CoCl2-4,MCL-MCL-5	0.0	0.2	0.8	-0.23
CoCl2-CoCl2-5,MCL-MCL-1	3.7	0.2	0.8	4.61
CoCl2-CoCl2-5,MCL-MCL-2	0.0	0.1	0.7	-0.17
CoCl2-CoCl2-5,MCL-MCL-3	0.0	0.4	1.1	-0.34
CoCl2-CoCl2-5,MCL-MCL-4	0.0	0.4	1.0	-0.38
CoCl2-CoCl2-5,MCL-MCL-5	3.6	0.1	0.7	5.33
CoCl2-CoCl2-1,Cro-Cro-1	26.8	0.5	1.0	27.48
CoCl2-CoCl2-1,Cro-Cro-2	30.6	0.5	1.1	28.51
CoCl2-CoCl2-1,Cro-Cro-3	0.0	0.3	1.0	-0.28
CoCl2-CoCl2-1,Cro-Cro-4	26.4	0.5	1.0	25.91
CoCl2-CoCl2-1,Cro-Cro-5	0.0	0.4	1.1	-0.38
CoCl2-CoCl2-2,Cro-Cro-1	5.5	0.3	0.9	5.64
CoCl2-CoCl2-2,Cro-Cro-2	5.4	0.2	0.8	6.51
CoCl2-CoCl2-2,Cro-Cro-3	0.0	0.2	1.0	-0.18
CoCl2-CoCl2-2,Cro-Cro-4	3.0	0.2	0.8	3.35
CoCl2-CoCl2-2,Cro-Cro-5	0.0	0.2	0.9	-0.22
CoCl2-CoCl2-3,Cro-Cro-1	28.9	0.4	0.9	30.22
CoCl2-CoCl2-3,Cro-Cro-2	35.2	0.4	0.9	37.15
CoCl2-CoCl2-3,Cro-Cro-3	0.0	0.3	1.1	-0.29
CoCl2-CoCl2-3,Cro-Cro-4	28.6	0.4	1.0	27.49
CoCl2-CoCl2-3,Cro-Cro-5	0.0	0.3	1.0	-0.29
CoCl2-CoCl2-4,Cro-Cro-1	30.8	0.5	1.0	29.71
CoCl2-CoCl2-4,Cro-Cro-2	28.3	0.5	1.0	27.85
CoCl2-CoCl2-4,Cro-Cro-3	0.0	0.2	0.8	-0.23
CoCl2-CoCl2-4,Cro-Cro-4	28.2	0.4	0.9	29.60
CoCl2-CoCl2-4,Cro-Cro-5	0.0	0.3	0.9	-0.31
CoCl2-CoCl2-5,Cro-Cro-1	28.9	0.4	1.0	28.16
CoCl2-CoCl2-5,Cro-Cro-2	30.8	0.4	0.9	33.49
CoCl2-CoCl2-5,Cro-Cro-3	0.0	0.2	0.9	-0.24
CoCl2-CoCl2-5,Cro-Cro-4	28.6	0.4	1.0	29.51
CoCl2-CoCl2-5,Cro-Cro-5	0.0	0.2	0.8	-0.26
CoCl2-CoCl2-1,MG-MG-1	6.7	0.6	1.1	5.38
CoCl2-CoCl2-1,MG-MG-2	5.3	0.5	1.1	4.49
CoCl2-CoCl2-1,MG-MG-3	8.0	0.6	1.2	6.13
CoCl2-CoCl2-1,MG-MG-4	20.0	0.4	1.0	19.54
CoCl2-CoCl2-1,MG-MG-5	5.6	0.5	1.2	4.15
CoCl2-CoCl2-2,MG-MG-1	6.1	0.2	0.8	6.93
CoCl2-CoCl2-2,MG-MG-2	3.9	0.2	0.8	4.45
CoCl2-CoCl2-2,MG-MG-3	7.8	0.3	1.0	7.60
CoCl2-CoCl2-2,MG-MG-4	3.6	0.2	0.9	3.89
CoCl2-CoCl2-2,MG-MG-5	4.3	0.3	1.1	3.76
CoCl2-CoCl2-3,MG-MG-1	2.4	0.5	1.1	1.64
CoCl2-CoCl2-3,MG-MG-2	2.9	0.6	1.3	1.82
CoCl2-CoCl2-3,MG-MG-3	2.9	0.6	1.3	1.77
CoCl2-CoCl2-3,MG-MG-4	11.0	0.4	1.1	10.06
CoCl2-CoCl2-3,MG-MG-5	3.1	0.6	1.4	1.84
CoCl2-CoCl2-4,MG-MG-1	2.4	0.6	1.2	1.42
CoCl2-CoCl2-4,MG-MG-2	2.9	0.5	1.2	1.90
CoCl2-CoCl2-4,MG-MG-3	2.9	0.6	1.3	1.84
CoCl2-CoCl2-4,MG-MG-4	8.1	0.4	1.1	7.15
CoCl2-CoCl2-4,MG-MG-5	3.1	0.6	1.4	1.76
CoCl2-CoCl2-5,MG-MG-1	4.8	0.7	1.3	3.21
CoCl2-CoCl2-5,MG-MG-2	2.9	0.8	1.5	1.41
CoCl2-CoCl2-5,MG-MG-3	5.9	0.7	1.4	3.62
CoCl2-CoCl2-5,MG-MG-4	2.7	0.4	1.0	2.43
CoCl2-CoCl2-5,MG-MG-5	3.1	0.7	1.4	1.71
CoCl2-CoCl2-1,BuOH-BuOH-1	2.8	0.4	1.1	2.23
CoCl2-CoCl2-1,BuOH-BuOH-2	2.9	0.3	0.9	2.86
CoCl2-CoCl2-1,BuOH-BuOH-3	8.5	0.4	1.0	7.79
CoCl2-CoCl2-1,BuOH-BuOH-4	0.0	0.3	1.0	-0.27
CoCl2-CoCl2-1,BuOH-BuOH-5	0.0	0.4	1.0	-0.39
CoCl2-CoCl2-2,BuOH-BuOH-1	0.0	0.2	0.9	-0.23
CoCl2-CoCl2-2,BuOH-BuOH-2	0.0	0.2	1.0	-0.23
CoCl2-CoCl2-2,BuOH-BuOH-3	0.0	0.2	0.9	-0.21
CoCl2-CoCl2-2,BuOH-BuOH-4	0.0	0.2	1.1	-0.17
CoCl2-CoCl2-2,BuOH-BuOH-5	0.0	0.2	0.9	-0.24
CoCl2-CoCl2-3,BuOH-BuOH-1	0.0	0.4	1.1	-0.36
CoCl2-CoCl2-3,BuOH-BuOH-2	3.2	0.3	0.9	3.05
CoCl2-CoCl2-3,BuOH-BuOH-3	3.1	0.3	1.0	2.82
CoCl2-CoCl2-3,BuOH-BuOH-4	0.0	0.3	1.1	-0.27
CoCl2-CoCl2-3,BuOH-BuOH-5	0.0	0.3	0.9	-0.34
CoCl2-CoCl2-4,BuOH-BuOH-1	3.1	0.3	1.0	2.86
CoCl2-CoCl2-4,BuOH-BuOH-2	6.2	0.3	0.9	6.43
CoCl2-CoCl2-4,BuOH-BuOH-3	9.2	0.3	1.0	8.67
CoCl2-CoCl2-4,BuOH-BuOH-4	0.0	0.2	1.0	-0.25
CoCl2-CoCl2-4,BuOH-BuOH-5	0.0	0.3	0.9	-0.32
CoCl2-CoCl2-5,BuOH-BuOH-1	0.0	0.4	1.1	-0.35
CoCl2-CoCl2-5,BuOH-BuOH-2	0.0	0.2	0.8	-0.27
CoCl2-CoCl2-5,BuOH-BuOH-3	0.0	0.3	1.0	-0.32
CoCl2-CoCl2-5,BuOH-BuOH-4	0.0	0.3	1.1	-0.25
CoCl2-CoCl2-5,BuOH-BuOH-5	0.0	0.2	0.7	-0.23
CoCl2-CoCl2-1,CPC-CPC-1	0.0	0.1	0.8	-0.17
CoCl2-CoCl2-1,CPC-CPC-2	14.7	0.4	1.1	13.45
CoCl2-CoCl2-1,CPC-CPC-3	9.0	0.4	1.1	7.78
CoCl2-CoCl2-1,CPC-CPC-4	11.9	0.5	1.3	9.07
CoCl2-CoCl2-1,CPC-CPC-5	8.8	0.4	1.1	7.64
CoCl2-CoCl2-2,CPC-CPC-1	0.0	0.1	1.0	-0.11
CoCl2-CoCl2-2,CPC-CPC-2	4.5	0.2	1.0	4.55
CoCl2-CoCl2-2,CPC-CPC-3	0.0	0.3	1.1	-0.24
CoCl2-CoCl2-2,CPC-CPC-4	9.3	0.2	1.1	8.52
CoCl2-CoCl2-2,CPC-CPC-5	9.1	0.2	1.0	9.02
CoCl2-CoCl2-3,CPC-CPC-1	0.0	0.1	0.8	-0.15
CoCl2-CoCl2-3,CPC-CPC-2	3.3	0.4	1.1	2.63
CoCl2-CoCl2-3,CPC-CPC-3	0.0	0.3	1.0	-0.33
CoCl2-CoCl2-3,CPC-CPC-4	3.3	0.5	1.3	2.17
CoCl2-CoCl2-3,CPC-CPC-5	3.3	0.5	1.2	2.32
CoCl2-CoCl2-4,CPC-CPC-1	0.0	0.1	0.8	-0.16
CoCl2-CoCl2-4,CPC-CPC-2	6.5	0.4	1.1	5.43
CoCl2-CoCl2-4,CPC-CPC-3	3.3	0.3	1.0	2.97
CoCl2-CoCl2-4,CPC-CPC-4	3.3	0.5	1.2	2.31
CoCl2-CoCl2-4,CPC-CPC-5	0.0	0.5	1.3	-0.40
CoCl2-CoCl2-5,CPC-CPC-1	5.1	0.1	0.8	5.89
CoCl2-CoCl2-5,CPC-CPC-2	3.3	0.3	1.1	2.81
CoCl2-CoCl2-5,CPC-CPC-3	0.0	0.3	0.9	-0.29
CoCl2-CoCl2-5,CPC-CPC-4	6.7	0.5	1.3	4.70
CoCl2-CoCl2-5,CPC-CPC-5	6.6	0.6	1.4	4.34
Na2CO3-Na2CO3-1,Lac-Lac-1	0.0	0.2	0.6	-0.25
Na2CO3-Na2CO3-1,Lac-Lac-2	0.0	0.2	0.8	-0.27
Na2CO3-Na2CO3-1,Lac-Lac-3	0.0	0.3	0.8	-0.32
Na2CO3-Na2CO3-1,Lac-Lac-4	2.6	0.3	0.9	2.67
Na2CO3-Na2CO3-1,Lac-Lac-5	12.6	0.4	0.9	12.89
Na2CO3-Na2CO3-2,Lac-Lac-1	0.0	0.1	0.7	-0.19
Na2CO3-Na2CO3-2,Lac-Lac-2	0.0	0.1	0.7	-0.20
Na2CO3-Na2CO3-2,Lac-Lac-3	0.0	0.3	0.9	-0.28
Na2CO3-Na2CO3-2,Lac-Lac-4	3.4	0.2	0.9	3.56
Na2CO3-Na2CO3-2,Lac-Lac-5	7.9	0.4	1.0	7.27
Na2CO3-Na2CO3-3,Lac-Lac-1	3.0	0.2	0.7	4.27
Na2CO3-Na2CO3-3,Lac-Lac-2	2.9	0.2	0.7	4.03
Na2CO3-Na2CO3-3,Lac-Lac-3	5.5	0.3	0.8	6.14
Na2CO3-Na2CO3-3,Lac-Lac-4	5.6	0.2	0.8	6.97
Na2CO3-Na2CO3-3,Lac-Lac-5	8.9	0.5	1.1	7.85
Na2CO3-Na2CO3-4,Lac-Lac-1	3.6	0.1	0.7	4.96
Na2CO3-Na2CO3-4,Lac-Lac-2	3.6	0.1	0.7	4.90
Na2CO3-Na2CO3-4,Lac-Lac-3	3.3	0.2	0.9	3.56
Na2CO3-Na2CO3-4,Lac-Lac-4	6.7	0.2	0.9	7.34
Na2CO3-Na2CO3-4,Lac-Lac-5	7.7	0.4	1.0	7.27
Na2CO3-Na2CO3-5,Lac-Lac-1	0.0	0.2	0.8	-0.22
Na2CO3-Na2CO3-5,Lac-Lac-2	0.0	0.2	0.9	-0.26
Na2CO3-Na2CO3-5,Lac-Lac-3	0.0	0.3	0.9	-0.29
Na2CO3-Na2CO3-5,Lac-Lac-4	3.2	0.2	0.9	3.41
Na2CO3-Na2CO3-5,Lac-Lac-5	2.5	0.4	1.0	2.12
Na2CO3-Na2CO3-1,Mal-Mal-1	0.0	0.2	0.7	-0.23
