Strain Combination	Observed Ratio (%)	Observed Count	Simulated Mean (%)	Simulated Std Dev (%)	D Value
Lac-Lac-2,CPC-CPC-4	5.13	1	0.13	0.85	5.89
Lac-Lac-2,CPC-CPC-5	5.00	1	0.13	0.83	5.89
Lac-Lac-3,CPC-CPC-1	0.00	0	0.14	1.09	-0.13
Lac-Lac-3,CPC-CPC-2	13.33	3	0.24	1.05	12.45
Lac-Lac-3,CPC-CPC-3	9.09	2	0.22	1.02	8.67
Lac-Lac-3,CPC-CPC-4	9.09	2	0.16	0.84	10.69
Lac-Lac-3,CPC-CPC-5	13.33	3	0.22	0.99	13.26
Lac-Lac-4,CPC-CPC-1	0.00	0	0.07	0.81	-0.09
Lac-Lac-4,CPC-CPC-2	4.55	1	0.21	0.95	4.55
Lac-Lac-4,CPC-CPC-3	4.65	1	0.22	0.98	4.50
Lac-Lac-4,CPC-CPC-4	4.65	1	0.15	0.82	5.50
Lac-Lac-4,CPC-CPC-5	4.55	1	0.15	0.80	5.50
Lac-Lac-5,CPC-CPC-1	0.00	0	0.15	0.87	-0.17
Lac-Lac-5,CPC-CPC-2	9.68	3	0.29	0.98	9.55
Lac-Lac-5,CPC-CPC-3	0.00	0	0.30	0.99	-0.31
Lac-Lac-5,CPC-CPC-4	6.56	2	0.31	0.96	6.50
Lac-Lac-5,CPC-CPC-5	6.45	2	0.28	0.91	6.79
Mal-Mal-1,MCL-MCL-1	25.81	4	0.12	0.86	29.95
Mal-Mal-1,MCL-MCL-2	28.57	3	0.10	0.95	30.05
Mal-Mal-1,MCL-MCL-3	17.14	3	0.12	0.82	20.78
Mal-Mal-1,MCL-MCL-4	15.38	4	0.18	0.83	18.27
Mal-Mal-1,MCL-MCL-5	18.75	3	0.18	1.05	17.70
Mal-Mal-2,MCL-MCL-1	7.69	1	0.10	0.87	8.71
Mal-Mal-2,MCL-MCL-2	0.00	0	0.06	0.88	-0.07
Mal-Mal-2,MCL-MCL-3	0.00	0	0.06	0.63	-0.10
Mal-Mal-2,MCL-MCL-4	0.00	0	0.11	0.74	-0.16
Mal-Mal-2,MCL-MCL-5	0.00	0	0.08	0.77	-0.11
Mal-Mal-3,MCL-MCL-1	14.63	3	0.21	1.00	14.41
Mal-Mal-3,MCL-MCL-2	0.00	0	0.17	1.10	-0.15
Mal-Mal-3,MCL-MCL-3	0.00	0	0.24	1.03	-0.24
Mal-Mal-3,MCL-MCL-4	0.00	0	0.28	0.94	-0.30
Mal-Mal-3,MCL-MCL-5	0.00	0	0.18	0.91	-0.20
Mal-Mal-4,MCL-MCL-1	0.00	0	0.08	0.77	-0.10
Mal-Mal-4,MCL-MCL-2	0.00	0	0.05	0.79	-0.06
Mal-Mal-4,MCL-MCL-3	0.00	0	0.07	0.66	-0.10
Mal-Mal-4,MCL-MCL-4	0.00	0	0.05	0.44	-0.11
Mal-Mal-4,MCL-MCL-5	0.00	0	0.11	0.90	-0.12
Mal-Mal-5,MCL-MCL-1	0.00	0	0.13	0.90	-0.15
Mal-Mal-5,MCL-MCL-2	0.00	0	0.15	1.14	-0.13
Mal-Mal-5,MCL-MCL-3	5.56	1	0.15	0.93	5.79
Mal-Mal-5,MCL-MCL-4	7.55	2	0.17	0.79	9.33
Mal-Mal-5,MCL-MCL-5	0.00	0	0.20	1.08	-0.18
Mal-Mal-1,Cro-Cro-1	0.00	0	0.16	0.68	-0.23
Mal-Mal-1,Cro-Cro-2	0.00	0	0.15	0.66	-0.23
Mal-Mal-1,Cro-Cro-3	0.00	0	0.12	0.86	-0.14
Mal-Mal-1,Cro-Cro-4	0.00	0	0.13	0.66	-0.20
Mal-Mal-1,Cro-Cro-5	0.00	0	0.14	0.85	-0.16
Mal-Mal-2,Cro-Cro-1	0.00	0	0.07	0.46	-0.15
Mal-Mal-2,Cro-Cro-2	0.00	0	0.07	0.47	-0.15
Mal-Mal-2,Cro-Cro-3	0.00	0	0.03	0.49	-0.06
Mal-Mal-2,Cro-Cro-4	0.00	0	0.04	0.37	-0.11
Mal-Mal-2,Cro-Cro-5	0.00	0	0.08	0.64	-0.12
Mal-Mal-3,Cro-Cro-1	2.60	1	0.30	0.86	2.67
Mal-Mal-3,Cro-Cro-2	5.13	2	0.31	0.90	5.35
Mal-Mal-3,Cro-Cro-3	4.88	1	0.24	1.08	4.31
Mal-Mal-3,Cro-Cro-4	0.00	0	0.35	0.99	-0.35
Mal-Mal-3,Cro-Cro-5	3.85	1	0.24	0.94	3.82
Mal-Mal-4,Cro-Cro-1	0.00	0	0.07	0.49	-0.14
Mal-Mal-4,Cro-Cro-2	0.00	0	0.10	0.57	-0.18
Mal-Mal-4,Cro-Cro-3	0.00	0	0.08	0.80	-0.11
Mal-Mal-4,Cro-Cro-4	0.00	0	0.09	0.56	-0.16
Mal-Mal-4,Cro-Cro-5	0.00	0	0.04	0.45	-0.08
Mal-Mal-5,Cro-Cro-1	5.88	2	0.17	0.71	8.02
Mal-Mal-5,Cro-Cro-2	5.80	2	0.19	0.73	7.72
Mal-Mal-5,Cro-Cro-3	0.00	0	0.12	0.87	-0.14
Mal-Mal-5,Cro-Cro-4	6.45	2	0.15	0.72	8.76
Mal-Mal-5,Cro-Cro-5	4.65	1	0.15	0.82	5.50
Mal-Mal-1,MG-MG-1	0.00	0	0.11	0.62	-0.18
Mal-Mal-1,MG-MG-2	0.00	0	0.12	0.73	-0.17
Mal-Mal-1,MG-MG-3	0.00	0	0.12	0.73	-0.16
Mal-Mal-1,MG-MG-4	0.00	0	0.14	0.75	-0.19
Mal-Mal-1,MG-MG-5	0.00	0	0.09	0.65	-0.14
Mal-Mal-2,MG-MG-1	0.00	0	0.04	0.40	-0.11
Mal-Mal-2,MG-MG-2	0.00	0	0.02	0.27	-0.05
Mal-Mal-2,MG-MG-3	0.00	0	0.01	0.16	-0.03
Mal-Mal-2,MG-MG-4	0.00	0	0.06	0.52	-0.12
Mal-Mal-2,MG-MG-5	0.00	0	0.00	0.00	0.00
Mal-Mal-3,MG-MG-1	2.86	1	0.29	0.91	2.83
Mal-Mal-3,MG-MG-2	3.64	1	0.36	1.15	2.85
Mal-Mal-3,MG-MG-3	3.64	1	0.34	1.10	3.00
Mal-Mal-3,MG-MG-4	10.00	3	0.29	1.01	9.58
Mal-Mal-3,MG-MG-5	0.00	0	0.28	1.04	-0.27
Mal-Mal-4,MG-MG-1	0.00	0	0.03	0.30	-0.08
Mal-Mal-4,MG-MG-2	0.00	0	0.00	0.00	0.00
Mal-Mal-4,MG-MG-3	0.00	0	0.01	0.16	-0.03
Mal-Mal-4,MG-MG-4	0.00	0	0.06	0.52	-0.12
Mal-Mal-4,MG-MG-5	0.00	0	0.00	0.00	0.00
Mal-Mal-5,MG-MG-1	0.00	0	0.15	0.69	-0.22
Mal-Mal-5,MG-MG-2	0.00	0	0.12	0.70	-0.17
Mal-Mal-5,MG-MG-3	0.00	0	0.15	0.79	-0.19
Mal-Mal-5,MG-MG-4	0.00	0	0.15	0.80	-0.19
Mal-Mal-5,MG-MG-5	0.00	0	0.15	0.83	-0.18
Mal-Mal-1,BuOH-BuOH-1	0.00	0	0.12	0.75	-0.16
Mal-Mal-1,BuOH-BuOH-2	0.00	0	0.11	0.75	-0.14
Mal-Mal-1,BuOH-BuOH-3	0.00	0	0.12	0.76	-0.16
Mal-Mal-1,BuOH-BuOH-4	0.00	0	0.10	0.91	-0.11
Mal-Mal-1,BuOH-BuOH-5	0.00	0	0.19	0.87	-0.22
Mal-Mal-2,BuOH-BuOH-1	0.00	0	0.03	0.43	-0.08
Mal-Mal-2,BuOH-BuOH-2	0.00	0	0.08	0.67	-0.12
Mal-Mal-2,BuOH-BuOH-3	0.00	0	0.05	0.52	-0.10
Mal-Mal-2,BuOH-BuOH-4	0.00	0	0.03	0.58	-0.05
Mal-Mal-2,BuOH-BuOH-5	0.00	0	0.10	0.70	-0.14
Mal-Mal-3,BuOH-BuOH-1	0.00	0	0.22	0.94	-0.23
Mal-Mal-3,BuOH-BuOH-2	0.00	0	0.30	1.08	-0.27
Mal-Mal-3,BuOH-BuOH-3	0.00	0	0.25	0.95	-0.26
Mal-Mal-3,BuOH-BuOH-4	0.00	0	0.15	0.94	-0.16
Mal-Mal-3,BuOH-BuOH-5	3.45	1	0.28	0.96	3.30
Mal-Mal-4,BuOH-BuOH-1	0.00	0	0.06	0.55	-0.10
Mal-Mal-4,BuOH-BuOH-2	0.00	0	0.09	0.69	-0.12
Mal-Mal-4,BuOH-BuOH-3	0.00	0	0.05	0.52	-0.10
Mal-Mal-4,BuOH-BuOH-4	0.00	0	0.03	0.58	-0.05
Mal-Mal-4,BuOH-BuOH-5	0.00	0	0.06	0.55	-0.10
Mal-Mal-5,BuOH-BuOH-1	0.00	0	0.11	0.76	-0.15
Mal-Mal-5,BuOH-BuOH-2	0.00	0	0.15	0.87	-0.17
Mal-Mal-5,BuOH-BuOH-3	0.00	0	0.14	0.80	-0.17
Mal-Mal-5,BuOH-BuOH-4	0.00	0	0.10	0.94	-0.10
Mal-Mal-5,BuOH-BuOH-5	0.00	0	0.20	0.91	-0.22
Mal-Mal-1,CPC-CPC-1	0.00	0	0.04	0.68	-0.05
Mal-Mal-1,CPC-CPC-2	0.00	0	0.15	0.88	-0.17
Mal-Mal-1,CPC-CPC-3	0.00	0	0.09	0.68	-0.13
Mal-Mal-1,CPC-CPC-4	0.00	0	0.11	0.78	-0.15
Mal-Mal-1,CPC-CPC-5	0.00	0	0.11	0.75	-0.15
Mal-Mal-2,CPC-CPC-1	0.00	0	0.04	0.81	-0.04
Mal-Mal-2,CPC-CPC-2	0.00	0	0.07	0.66	-0.11
Mal-Mal-2,CPC-CPC-3	0.00	0	0.06	0.59	-0.10
Mal-Mal-2,CPC-CPC-4	0.00	0	0.04	0.48	-0.08
Mal-Mal-2,CPC-CPC-5	0.00	0	0.02	0.38	-0.06
Mal-Mal-3,CPC-CPC-1	0.00	0	0.09	0.84	-0.11
Mal-Mal-3,CPC-CPC-2	4.17	1	0.25	0.98	3.99
Mal-Mal-3,CPC-CPC-3	0.00	0	0.27	1.09	-0.25
Mal-Mal-3,CPC-CPC-4	4.26	1	0.31	1.10	3.59
Mal-Mal-3,CPC-CPC-5	4.17	1	0.27	1.09	3.57
Mal-Mal-4,CPC-CPC-1	0.00	0	0.07	1.15	-0.06
Mal-Mal-4,CPC-CPC-2	0.00	0	0.07	0.63	-0.11
Mal-Mal-4,CPC-CPC-3	0.00	0	0.05	0.56	-0.09
Mal-Mal-4,CPC-CPC-4	0.00	0	0.05	0.56	-0.09
Mal-Mal-4,CPC-CPC-5	0.00	0	0.02	0.33	-0.05
Mal-Mal-5,CPC-CPC-1	0.00	0	0.08	0.98	-0.08
Mal-Mal-5,CPC-CPC-2	0.00	0	0.13	0.82	-0.16
Mal-Mal-5,CPC-CPC-3	0.00	0	0.15	0.87	-0.17
Mal-Mal-5,CPC-CPC-4	10.53	2	0.14	0.85	12.17
Mal-Mal-5,CPC-CPC-5	10.26	2	0.13	0.80	12.65
MCL-MCL-1,Cro-Cro-1	0.00	0	0.34	0.90	-0.38
MCL-MCL-1,Cro-Cro-2	2.41	1	0.37	0.95	2.14
MCL-MCL-1,Cro-Cro-3	0.00	0	0.34	1.20	-0.29
MCL-MCL-1,Cro-Cro-4	0.00	0	0.41	1.07	-0.38
MCL-MCL-1,Cro-Cro-5	0.00	0	0.33	1.05	-0.31
MCL-MCL-2,Cro-Cro-1	0.00	0	0.22	0.77	-0.29
MCL-MCL-2,Cro-Cro-2	2.74	1	0.19	0.73	3.49
MCL-MCL-2,Cro-Cro-3	0.00	0	0.15	0.93	-0.16
MCL-MCL-2,Cro-Cro-4	0.00	0	0.28	0.91	-0.30
MCL-MCL-2,Cro-Cro-5	0.00	0	0.21	0.92	-0.23
MCL-MCL-3,Cro-Cro-1	2.33	1	0.41	0.97	1.96
MCL-MCL-3,Cro-Cro-2	4.60	2	0.43	0.97	4.28
MCL-MCL-3,Cro-Cro-3	0.00	0	0.22	0.97	-0.23
MCL-MCL-3,Cro-Cro-4	2.50	1	0.39	1.00	2.11
MCL-MCL-3,Cro-Cro-5	0.00	0	0.30	0.99	-0.30
MCL-MCL-4,Cro-Cro-1	1.94	1	0.54	1.03	1.37
MCL-MCL-4,Cro-Cro-2	3.85	2	0.53	0.95	3.48
MCL-MCL-4,Cro-Cro-3	0.00	0	0.33	0.99	-0.34
MCL-MCL-4,Cro-Cro-4	2.06	1	0.45	0.94	1.70
MCL-MCL-4,Cro-Cro-5	0.00	0	0.45	1.03	-0.44
MCL-MCL-5,Cro-Cro-1	0.00	0	0.38	0.96	-0.40
MCL-MCL-5,Cro-Cro-2	0.00	0	0.42	1.01	-0.41
MCL-MCL-5,Cro-Cro-3	0.00	0	0.29	1.10	-0.26
MCL-MCL-5,Cro-Cro-4	0.00	0	0.38	1.00	-0.38
MCL-MCL-5,Cro-Cro-5	0.00	0	0.37	1.13	-0.33
MCL-MCL-1,MG-MG-1	2.67	1	0.27	0.85	2.82
MCL-MCL-1,MG-MG-2	0.00	0	0.19	0.79	-0.24
MCL-MCL-1,MG-MG-3	3.33	1	0.23	0.88	3.51
MCL-MCL-1,MG-MG-4	3.08	1	0.26	0.91	3.09
MCL-MCL-1,MG-MG-5	0.00	0	0.19	0.79	-0.23
MCL-MCL-2,MG-MG-1	0.00	0	0.15	0.66	-0.23
MCL-MCL-2,MG-MG-2	0.00	0	0.14	0.77	-0.19
MCL-MCL-2,MG-MG-3	0.00	0	0.12	0.69	-0.18
MCL-MCL-2,MG-MG-4	7.27	2	0.22	0.91	7.77
MCL-MCL-2,MG-MG-5	0.00	0	0.14	0.77	-0.18
MCL-MCL-3,MG-MG-1	0.00	0	0.32	0.91	-0.35
MCL-MCL-3,MG-MG-2	0.00	0	0.37	1.03	-0.35
MCL-MCL-3,MG-MG-3	0.00	0	0.31	1.01	-0.31
MCL-MCL-3,MG-MG-4	2.90	1	0.39	1.05	2.38
MCL-MCL-3,MG-MG-5	0.00	0	0.31	1.04	-0.29
MCL-MCL-4,MG-MG-1	0.00	0	0.48	0.99	-0.48
MCL-MCL-4,MG-MG-2	0.00	0	0.36	0.93	-0.39
MCL-MCL-4,MG-MG-3	0.00	0	0.40	1.01	-0.40
MCL-MCL-4,MG-MG-4	2.33	1	0.47	1.05	1.77
MCL-MCL-4,MG-MG-5	0.00	0	0.30	0.90	-0.33
MCL-MCL-5,MG-MG-1	2.63	1	0.26	0.85	2.79
MCL-MCL-5,MG-MG-2	0.00	0	0.13	0.63	-0.20
MCL-MCL-5,MG-MG-3	3.28	1	0.18	0.76	4.11
MCL-MCL-5,MG-MG-4	0.00	0	0.32	0.97	-0.33
MCL-MCL-5,MG-MG-5	0.00	0	0.14	0.70	-0.20
MCL-MCL-1,BuOH-BuOH-1	7.14	2	0.31	1.06	6.47
MCL-MCL-1,BuOH-BuOH-2	14.55	4	0.29	1.00	14.26
MCL-MCL-1,BuOH-BuOH-3	0.00	0	0.32	1.06	-0.30
MCL-MCL-1,BuOH-BuOH-4	0.00	0	0.22	1.04	-0.21
MCL-MCL-1,BuOH-BuOH-5	9.52	3	0.43	1.15	7.92
MCL-MCL-2,BuOH-BuOH-1	0.00	0	0.17	0.84	-0.20
MCL-MCL-2,BuOH-BuOH-2	0.00	0	0.20	0.91	-0.21
MCL-MCL-2,BuOH-BuOH-3	0.00	0	0.19	0.90	-0.21
MCL-MCL-2,BuOH-BuOH-4	0.00	0	0.10	0.84	-0.12
MCL-MCL-2,BuOH-BuOH-5	0.00	0	0.28	1.02	-0.27
MCL-MCL-3,BuOH-BuOH-1	0.00	0	0.29	0.98	-0.29
MCL-MCL-3,BuOH-BuOH-2	6.78	2	0.34	1.09	5.92
MCL-MCL-3,BuOH-BuOH-3	3.33	1	0.29	0.97	3.12
MCL-MCL-3,BuOH-BuOH-4	4.65	1	0.23	1.01	4.36
MCL-MCL-3,BuOH-BuOH-5	5.97	2	0.38	1.05	5.34
MCL-MCL-4,BuOH-BuOH-1	0.00	0	0.35	0.94	-0.38
MCL-MCL-4,BuOH-BuOH-2	0.00	0	0.39	1.02	-0.38
MCL-MCL-4,BuOH-BuOH-3	0.00	0	0.37	0.96	-0.39
MCL-MCL-4,BuOH-BuOH-4	0.00	0	0.18	0.78	-0.23
MCL-MCL-4,BuOH-BuOH-5	4.76	2	0.41	0.97	4.51
MCL-MCL-5,BuOH-BuOH-1	7.02	2	0.29	0.99	6.77
MCL-MCL-5,BuOH-BuOH-2	14.29	4	0.29	0.99	14.17
MCL-MCL-5,BuOH-BuOH-3	0.00	0	0.29	1.02	-0.28
MCL-MCL-5,BuOH-BuOH-4	0.00	0	0.12	0.81	-0.15
MCL-MCL-5,BuOH-BuOH-5	18.75	6	0.40	1.09	16.89
MCL-MCL-1,CPC-CPC-1	0.00	0	0.10	0.81	-0.13
MCL-MCL-1,CPC-CPC-2	0.00	0	0.31	1.06	-0.29
MCL-MCL-1,CPC-CPC-3	0.00	0	0.28	1.04	-0.27
MCL-MCL-1,CPC-CPC-4	3.85	1	0.23	0.92	3.92
MCL-MCL-1,CPC-CPC-5	3.77	1	0.25	0.95	3.73
MCL-MCL-2,CPC-CPC-1	0.00	0	0.18	1.30	-0.14
MCL-MCL-2,CPC-CPC-2	0.00	0	0.14	0.81	-0.18
MCL-MCL-2,CPC-CPC-3	0.00	0	0.20	0.94	-0.21
MCL-MCL-2,CPC-CPC-4	0.00	0	0.17	0.89	-0.19
MCL-MCL-2,CPC-CPC-5	0.00	0	0.14	0.79	-0.18
MCL-MCL-3,CPC-CPC-1	0.00	0	0.14	0.89	-0.16
MCL-MCL-3,CPC-CPC-2	0.00	0	0.27	1.00	-0.27
MCL-MCL-3,CPC-CPC-3	0.00	0	0.30	1.00	-0.30
MCL-MCL-3,CPC-CPC-4	7.14	2	0.32	1.08	6.30
MCL-MCL-3,CPC-CPC-5	7.02	2	0.29	1.00	6.73
MCL-MCL-4,CPC-CPC-1	0.00	0	0.13	0.73	-0.17
MCL-MCL-4,CPC-CPC-2	0.00	0	0.42	1.05	-0.40
MCL-MCL-4,CPC-CPC-3	2.74	1	0.41	1.07	2.18
MCL-MCL-4,CPC-CPC-4	5.48	2	0.33	0.96	5.35
MCL-MCL-4,CPC-CPC-5	5.41	2	0.36	0.99	5.09
MCL-MCL-5,CPC-CPC-1	0.00	0	0.14	0.92	-0.15
MCL-MCL-5,CPC-CPC-2	0.00	0	0.31	1.06	-0.29
MCL-MCL-5,CPC-CPC-3	0.00	0	0.33	1.11	-0.30
MCL-MCL-5,CPC-CPC-4	7.55	2	0.18	0.83	8.85
MCL-MCL-5,CPC-CPC-5	7.41	2	0.19	0.82	8.76
Cro-Cro-1,MG-MG-1	10.81	6	0.55	1.00	10.23
Cro-Cro-1,MG-MG-2	10.42	5	0.47	0.97	10.25
Cro-Cro-1,MG-MG-3	16.67	8	0.48	0.95	17.07
Cro-Cro-1,MG-MG-4	7.92	4	0.55	1.02	7.22
Cro-Cro-1,MG-MG-5	8.70	4	0.40	0.88	9.44
Cro-Cro-2,MG-MG-1	3.57	2	0.56	0.99	3.05
Cro-Cro-2,MG-MG-2	4.12	2	0.47	0.96	3.79
Cro-Cro-2,MG-MG-3	10.31	5	0.49	0.96	10.23
Cro-Cro-2,MG-MG-4	5.88	3	0.53	0.96	5.57
Cro-Cro-2,MG-MG-5	2.15	1	0.39	0.89	1.99
Cro-Cro-3,MG-MG-1	2.67	1	0.23	0.77	3.14
Cro-Cro-3,MG-MG-2	3.33	1	0.23	0.87	3.59
Cro-Cro-3,MG-MG-3	13.33	4	0.25	0.91	14.38
Cro-Cro-3,MG-MG-4	0.00	0	0.34	1.01	-0.33
Cro-Cro-3,MG-MG-5	0.00	0	0.21	0.85	-0.25
Cro-Cro-4,MG-MG-1	0.00	0	0.49	1.00	-0.49
Cro-Cro-4,MG-MG-2	0.00	0	0.37	0.89	-0.41
Cro-Cro-4,MG-MG-3	6.67	3	0.34	0.87	7.30
Cro-Cro-4,MG-MG-4	0.00	0	0.54	1.06	-0.51
Cro-Cro-4,MG-MG-5	0.00	0	0.36	0.93	-0.38
Cro-Cro-5,MG-MG-1	2.33	1	0.31	0.83	2.44
Cro-Cro-5,MG-MG-2	0.00	0	0.22	0.78	-0.29
Cro-Cro-5,MG-MG-3	8.45	3	0.30	0.92	8.86
Cro-Cro-5,MG-MG-4	2.63	1	0.42	1.06	2.08
Cro-Cro-5,MG-MG-5	0.00	0	0.21	0.78	-0.27
Cro-Cro-1,BuOH-BuOH-1	6.52	3	0.44	0.97	6.30
Cro-Cro-1,BuOH-BuOH-2	2.20	1	0.44	0.97	1.82
Cro-Cro-1,BuOH-BuOH-3	6.52	3	0.45	0.98	6.17
Cro-Cro-1,BuOH-BuOH-4	2.67	1	0.26	0.80	3.00
Cro-Cro-1,BuOH-BuOH-5	4.04	2	0.53	1.01	3.47
Cro-Cro-2,BuOH-BuOH-1	2.15	1	0.43	0.94	1.83
Cro-Cro-2,BuOH-BuOH-2	2.17	1	0.45	0.97	1.77
Cro-Cro-2,BuOH-BuOH-3	4.30	2	0.39	0.93	4.22
Cro-Cro-2,BuOH-BuOH-4	2.63	1	0.23	0.78	3.09
Cro-Cro-2,BuOH-BuOH-5	4.00	2	0.52	1.01	3.43
Cro-Cro-3,BuOH-BuOH-1	7.14	2	0.24	0.90	7.67
Cro-Cro-3,BuOH-BuOH-2	3.64	1	0.35	1.11	2.95
Cro-Cro-3,BuOH-BuOH-3	3.57	1	0.27	1.00	3.30
Cro-Cro-3,BuOH-BuOH-4	5.13	1	0.20	1.02	4.84
Cro-Cro-3,BuOH-BuOH-5	6.35	2	0.39	1.09	5.49
Cro-Cro-4,BuOH-BuOH-1	2.33	1	0.33	0.85	2.34
Cro-Cro-4,BuOH-BuOH-2	2.35	1	0.47	1.05	1.79
Cro-Cro-4,BuOH-BuOH-3	2.33	1	0.46	1.01	1.85
Cro-Cro-4,BuOH-BuOH-4	2.90	1	0.21	0.77	3.49
Cro-Cro-4,BuOH-BuOH-5	2.15	1	0.56	1.10	1.44
Cro-Cro-5,BuOH-BuOH-1	5.97	2	0.33	1.01	5.56
Cro-Cro-5,BuOH-BuOH-2	6.06	2	0.38	1.08	5.28
Cro-Cro-5,BuOH-BuOH-3	5.97	2	0.37	1.03	5.43
Cro-Cro-5,BuOH-BuOH-4	4.00	1	0.18	0.87	4.41
Cro-Cro-5,BuOH-BuOH-5	5.41	2	0.45	1.10	4.50
Cro-Cro-1,CPC-CPC-1	0.00	0	0.17	0.69	-0.25
Cro-Cro-1,CPC-CPC-2	8.99	4	0.44	0.98	8.69
Cro-Cro-1,CPC-CPC-3	2.27	1	0.43	1.04	1.76
Cro-Cro-1,CPC-CPC-4	11.36	5	0.46	1.01	10.77
Cro-Cro-1,CPC-CPC-5	13.48	6	0.49	1.04	12.45
Cro-Cro-2,CPC-CPC-1	0.00	0	0.16	0.72	-0.22
Cro-Cro-2,CPC-CPC-2	8.89	4	0.48	1.03	8.17
Cro-Cro-2,CPC-CPC-3	0.00	0	0.42	0.97	-0.43
Cro-Cro-2,CPC-CPC-4	11.24	5	0.49	1.02	10.51
Cro-Cro-2,CPC-CPC-5	11.11	5	0.47	1.01	10.56
Cro-Cro-3,CPC-CPC-1	0.00	0	0.13	0.90	-0.14
Cro-Cro-3,CPC-CPC-2	7.55	2	0.31	1.08	6.73
Cro-Cro-3,CPC-CPC-3	0.00	0	0.28	1.04	-0.27
Cro-Cro-3,CPC-CPC-4	7.69	2	0.24	0.94	7.90
Cro-Cro-3,CPC-CPC-5	7.55	2	0.18	0.82	8.94
Cro-Cro-4,CPC-CPC-1	0.00	0	0.11	0.62	-0.19
Cro-Cro-4,CPC-CPC-2	2.41	1	0.40	0.97	2.08
Cro-Cro-4,CPC-CPC-3	0.00	0	0.36	0.94	-0.38
Cro-Cro-4,CPC-CPC-4	7.32	3	0.39	0.97	7.17
Cro-Cro-4,CPC-CPC-5	7.23	3	0.37	0.92	7.47
Cro-Cro-5,CPC-CPC-1	0.00	0	0.12	0.74	-0.16
Cro-Cro-5,CPC-CPC-2	3.12	1	0.33	1.03	2.71
Cro-Cro-5,CPC-CPC-3	3.17	1	0.30	0.97	2.97
Cro-Cro-5,CPC-CPC-4	3.17	1	0.30	0.94	3.07
Cro-Cro-5,CPC-CPC-5	3.12	1	0.26	0.93	3.09
MG-MG-1,BuOH-BuOH-1	28.24	12	0.39	0.99	28.12
MG-MG-1,BuOH-BuOH-2	0.00	0	0.29	0.82	-0.35
MG-MG-1,BuOH-BuOH-3	9.41	4	0.31	0.86	10.59
MG-MG-1,BuOH-BuOH-4	0.00	0	0.21	0.81	-0.27
MG-MG-1,BuOH-BuOH-5	2.17	1	0.28	0.79	2.39
MG-MG-2,BuOH-BuOH-1	34.29	12	0.32	0.97	35.17
MG-MG-2,BuOH-BuOH-2	2.90	1	0.27	0.87	3.02
MG-MG-2,BuOH-BuOH-3	14.29	5	0.34	1.02	13.66
MG-MG-2,BuOH-BuOH-4	3.77	1	0.24	0.93	3.79
MG-MG-2,BuOH-BuOH-5	2.60	1	0.21	0.73	3.26
MG-MG-3,BuOH-BuOH-1	40.00	14	0.34	0.98	40.27
MG-MG-3,BuOH-BuOH-2	8.70	3	0.23	0.84	10.05
MG-MG-3,BuOH-BuOH-3	20.00	7	0.31	0.92	21.46
MG-MG-3,BuOH-BuOH-4	11.32	3	0.26	0.96	11.48
MG-MG-3,BuOH-BuOH-5	5.19	2	0.24	0.76	6.52
MG-MG-4,BuOH-BuOH-1	32.00	12	0.36	0.98	32.23
MG-MG-4,BuOH-BuOH-2	8.11	3	0.29	0.86	9.12
MG-MG-4,BuOH-BuOH-3	16.00	6	0.36	0.95	16.39
MG-MG-4,BuOH-BuOH-4	0.00	0	0.21	0.83	-0.25
MG-MG-4,BuOH-BuOH-5	0.00	0	0.37	0.94	-0.39
MG-MG-5,BuOH-BuOH-1	33.33	11	0.36	1.01	32.51
MG-MG-5,BuOH-BuOH-2	0.00	0	0.23	0.83	-0.27
MG-MG-5,BuOH-BuOH-3	12.12	4	0.31	0.95	12.40
MG-MG-5,BuOH-BuOH-4	0.00	0	0.26	1.05	-0.25
MG-MG-5,BuOH-BuOH-5	0.00	0	0.18	0.68	-0.26
MG-MG-1,CPC-CPC-1	0.00	0	0.12	0.62	-0.19
MG-MG-1,CPC-CPC-2	17.07	7	0.39	0.95	17.56
MG-MG-1,CPC-CPC-3	12.35	5	0.40	0.97	12.31
MG-MG-1,CPC-CPC-4	7.41	3	0.56	1.16	5.91
MG-MG-1,CPC-CPC-5	14.63	6	0.52	1.12	12.66
MG-MG-2,CPC-CPC-1	0.00	0	0.14	0.83	-0.17
MG-MG-2,CPC-CPC-2	23.88	8	0.32	0.99	23.76
MG-MG-2,CPC-CPC-3	15.15	5	0.32	0.97	15.27
MG-MG-2,CPC-CPC-4	12.12	4	0.46	1.18	9.91
MG-MG-2,CPC-CPC-5	17.91	6	0.49	1.16	15.05
MG-MG-3,CPC-CPC-1	0.00	0	0.12	0.72	-0.17
MG-MG-3,CPC-CPC-2	26.87	9	0.37	1.04	25.56
MG-MG-3,CPC-CPC-3	15.15	5	0.29	0.93	15.93
MG-MG-3,CPC-CPC-4	18.18	6	0.48	1.20	14.71
MG-MG-3,CPC-CPC-5	26.87	9	0.47	1.21	21.85
MG-MG-4,CPC-CPC-1	0.00	0	0.18	0.85	-0.21
MG-MG-4,CPC-CPC-2	22.22	8	0.40	1.07	20.39
MG-MG-4,CPC-CPC-3	16.90	6	0.38	1.02	16.22
MG-MG-4,CPC-CPC-4	11.27	4	0.42	1.14	9.49
MG-MG-4,CPC-CPC-5	16.67	6	0.40	1.08	15.12
MG-MG-5,CPC-CPC-1	0.00	0	0.12	0.79	-0.15
