1)riId,2)riType,3)regulatorId,4)regulatorName,17)firstGene,19)targetTuOrGene,20)confidenceLevel
RDBECOLIRIC03896,tf-promoter,RDBECOLITFC00211,IHF,plaR,RDBECOLITUC03592:plaR,S
RDBECOLIRIC03897,tf-promoter,RDBECOLITFC00189,CRP,plaR,RDBECOLITUC03592:plaR,S
RDBECOLIRIC03898,tf-promoter,RDBECOLITFC00077,GadE,gadB,RDBECOLITUC03593:gadBC,C
RDBECOLIRIC03899,tf-promoter,RDBECOLITFC00187,GadX,gadB,RDBECOLITUC03593:gadBC,S
RDBECOLIRIC03900,tf-promoter,RDBECOLITFC00187,GadX,gadB,RDBECOLITUC03593:gadBC,S
RDBECOLIRIC03901,tf-promoter,RDBECOLITFC00189,CRP,gadB,RDBECOLITUC03593:gadBC,W
RDBECOLIRIC03902,tf-promoter,RDBECOLITFC00014,Lrp,ompC,RDBECOLITUC03494:ompC,S
RDBECOLIRIC03903,tf-promoter,RDBECOLITFC00014,Lrp,ompC,RDBECOLITUC03494:ompC,S
RDBECOLIRIC03904,tf-promoter,RDBECOLITFC00014,Lrp,ompC,RDBECOLITUC03494:ompC,S
RDBECOLIRIC03905,tf-promoter,RDBECOLITFC00014,Lrp,ompC,RDBECOLITUC03494:ompC,S
RDBECOLIRIC03906,tf-promoter,RDBECOLITFC00014,Lrp,ompC,RDBECOLITUC03494:ompC,S
RDBECOLIRIC03907,tf-promoter,RDBECOLITFC00014,Lrp,ompC,RDBECOLITUC03494:ompC,S
RDBECOLIRIC03908,tf-promoter,RDBECOLITFC00014,Lrp,ompC,RDBECOLITUC03494:ompC,S
RDBECOLIRIC03909,tf-promoter,RDBECOLITFC00014,Lrp,ompC,RDBECOLITUC03494:ompC,S
RDBECOLIRIC03910,tf-promoter,RDBECOLITFC00014,Lrp,ompC,RDBECOLITUC03494:ompC,S
RDBECOLIRIC03911,tf-promoter,RDBECOLITFC00098,ArcA,gadA,RDBECOLITUC03638:gadAX,W
