Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+2, Ara+5, Ara-2	61.31	36.58	0.68
Ara+2, Ara+5, Ara-3	61.39	36.83	0.70
Ara+2, Ara+5, Ara-4	60.10	35.16	0.71
Ara+2, Ara+5, Ara-5	60.77	35.37	0.68
Ara+2, Ara+5, Ara-6	62.82	35.96	0.71
Ara+2, Ara-1, Ara-2	58.79	36.93	0.72
Ara+2, Ara-1, Ara-3	57.72	37.15	0.67
Ara+2, Ara-1, Ara-4	59.79	35.50	0.71
Ara+2, Ara-1, Ara-5	60.84	35.71	0.71
Ara+2, Ara-1, Ara-6	60.26	36.28	0.70
Ara+2, Ara-2, Ara-3	60.90	37.52	0.66
Ara+2, Ara-2, Ara-4	60.07	35.76	0.70
Ara+2, Ara-2, Ara-5	59.98	35.99	0.70
Ara+2, Ara-2, Ara-6	61.29	36.64	0.69
Ara+2, Ara-3, Ara-4	61.06	36.08	0.69
Ara+2, Ara-3, Ara-5	60.21	36.28	0.69
Ara+2, Ara-3, Ara-6	61.33	36.87	0.71
Ara+2, Ara-4, Ara-5	60.20	34.68	0.72
Ara+2, Ara-4, Ara-6	60.93	35.23	0.71
Ara+2, Ara-5, Ara-6	62.17	35.42	0.71
Ara+3, Ara+4, Ara+5	71.63	35.70	0.67
Ara+3, Ara+4, Ara-1	58.40	35.98	0.68
Ara+3, Ara+4, Ara-2	61.03	36.32	0.67
Ara+3, Ara+4, Ara-3	61.56	36.57	0.68
Ara+3, Ara+4, Ara-4	60.39	34.94	0.70
Ara+3, Ara+4, Ara-5	59.64	35.12	0.71
Ara+3, Ara+4, Ara-6	61.66	35.68	0.70
Ara+3, Ara+5, Ara-1	57.12	35.97	0.71
Ara+3, Ara+5, Ara-2	61.04	36.34	0.72
Ara+3, Ara+5, Ara-3	60.36	36.56	0.68
Ara+3, Ara+5, Ara-4	59.39	34.89	0.70
