('Ara+2', 'Ara+3', 'Ara-6'): D = 68.80 SD
('Ara+2', 'Ara+4', 'Ara+5'): D = 93.22 SD
('Ara+2', 'Ara+4', 'Ara-1'): D = 66.69 SD
('Ara+2', 'Ara+4', 'Ara-2'): D = 64.22 SD
('Ara+2', 'Ara+4', 'Ara-3'): D = 65.66 SD
('Ara+2', 'Ara+4', 'Ara-4'): D = 68.35 SD
('Ara+2', 'Ara+4', 'Ara-5'): D = 67.93 SD
('Ara+2', 'Ara+4', 'Ara-6'): D = 70.82 SD
('Ara+2', 'Ara+5', 'Ara-1'): D = 63.34 SD
('Ara+2', 'Ara+5', 'Ara-2'): D = 66.75 SD
('Ara+2', 'Ara+5', 'Ara-3'): D = 67.00 SD
('Ara+2', 'Ara+5', 'Ara-4'): D = 67.90 SD
('Ara+2', 'Ara+5', 'Ara-5'): D = 67.54 SD
('Ara+2', 'Ara+5', 'Ara-6'): D = 69.95 SD
('Ara+2', 'Ara-1', 'Ara-2'): D = 61.02 SD
('Ara+2', 'Ara-1', 'Ara-3'): D = 63.01 SD
('Ara+2', 'Ara-1', 'Ara-4'): D = 68.81 SD
('Ara+2', 'Ara-1', 'Ara-5'): D = 69.35 SD
('Ara+2', 'Ara-1', 'Ara-6'): D = 66.37 SD
('Ara+2', 'Ara-2', 'Ara-3'): D = 60.77 SD
('Ara+2', 'Ara-2', 'Ara-4'): D = 65.28 SD
('Ara+2', 'Ara-2', 'Ara-5'): D = 64.31 SD
('Ara+2', 'Ara-2', 'Ara-6'): D = 61.32 SD
('Ara+2', 'Ara-3', 'Ara-4'): D = 65.17 SD
('Ara+2', 'Ara-3', 'Ara-5'): D = 64.42 SD
('Ara+2', 'Ara-3', 'Ara-6'): D = 62.59 SD
('Ara+2', 'Ara-4', 'Ara-5'): D = 66.26 SD
('Ara+2', 'Ara-4', 'Ara-6'): D = 65.52 SD
('Ara+2', 'Ara-5', 'Ara-6'): D = 69.22 SD
('Ara+3', 'Ara+4', 'Ara+5'): D = 87.94 SD
('Ara+3', 'Ara+4', 'Ara-1'): D = 63.66 SD
('Ara+3', 'Ara+4', 'Ara-2'): D = 65.73 SD
('Ara+3', 'Ara+4', 'Ara-3'): D = 64.51 SD
('Ara+3', 'Ara+4', 'Ara-4'): D = 68.26 SD
('Ara+3', 'Ara+4', 'Ara-5'): D = 66.51 SD
('Ara+3', 'Ara+4', 'Ara-6'): D = 68.86 SD
('Ara+3', 'Ara+5', 'Ara-1'): D = 64.53 SD
('Ara+3', 'Ara+5', 'Ara-2'): D = 65.36 SD
('Ara+3', 'Ara+5', 'Ara-3'): D = 66.77 SD
('Ara+3', 'Ara+5', 'Ara-4'): D = 63.98 SD
('Ara+3', 'Ara+5', 'Ara-5'): D = 65.91 SD
('Ara+3', 'Ara+5', 'Ara-6'): D = 65.43 SD
('Ara+3', 'Ara-1', 'Ara-2'): D = 66.00 SD
('Ara+3', 'Ara-1', 'Ara-3'): D = 63.39 SD
('Ara+3', 'Ara-1', 'Ara-4'): D = 70.88 SD
('Ara+3', 'Ara-1', 'Ara-5'): D = 72.13 SD
('Ara+3', 'Ara-1', 'Ara-6'): D = 68.55 SD
('Ara+3', 'Ara-2', 'Ara-3'): D = 65.41 SD
('Ara+3', 'Ara-2', 'Ara-4'): D = 67.83 SD
('Ara+3', 'Ara-2', 'Ara-5'): D = 64.20 SD
('Ara+3', 'Ara-2', 'Ara-6'): D = 64.52 SD
('Ara+3', 'Ara-3', 'Ara-4'): D = 69.02 SD
('Ara+3', 'Ara-3', 'Ara-5'): D = 64.40 SD
('Ara+3', 'Ara-3', 'Ara-6'): D = 62.29 SD
('Ara+3', 'Ara-4', 'Ara-5'): D = 71.03 SD
('Ara+3', 'Ara-4', 'Ara-6'): D = 66.09 SD
('Ara+3', 'Ara-5', 'Ara-6'): D = 67.96 SD
('Ara+4', 'Ara+5', 'Ara-1'): D = 68.38 SD
('Ara+4', 'Ara+5', 'Ara-2'): D = 65.28 SD
('Ara+4', 'Ara+5', 'Ara-3'): D = 64.04 SD
('Ara+4', 'Ara+5', 'Ara-4'): D = 67.67 SD
