Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+2, Ara+5, Ara-2	23.40	4.57	0.69
Ara+2, Ara+5, Ara-3	24.90	4.04	0.67
Ara+2, Ara+5, Ara-4	24.91	3.03	0.63
Ara+2, Ara+5, Ara-5	25.08	3.53	0.64
Ara+2, Ara+5, Ara-6	18.03	2.38	0.57
Ara+2, Ara-1, Ara-2	22.93	4.43	0.67
Ara+2, Ara-1, Ara-3	19.40	3.96	0.69
Ara+2, Ara-1, Ara-4	27.79	3.00	0.61
Ara+2, Ara-1, Ara-5	22.73	3.44	0.63
Ara+2, Ara-1, Ara-6	18.82	2.32	0.56
Ara+2, Ara-2, Ara-3	23.13	4.78	0.67
Ara+2, Ara-2, Ara-4	28.91	3.62	0.64
Ara+2, Ara-2, Ara-5	22.49	4.20	0.65
Ara+2, Ara-2, Ara-6	17.59	2.78	0.60
Ara+2, Ara-3, Ara-4	21.75	3.18	0.61
Ara+2, Ara-3, Ara-5	19.95	3.69	0.67
Ara+2, Ara-3, Ara-6	16.53	2.48	0.56
Ara+2, Ara-4, Ara-5	25.27	2.80	0.60
Ara+2, Ara-4, Ara-6	21.84	1.93	0.52
Ara+2, Ara-5, Ara-6	16.41	2.23	0.55
Ara+3, Ara+4, Ara+5	18.82	3.11	0.63
Ara+3, Ara+4, Ara-1	18.88	3.02	0.62
Ara+3, Ara+4, Ara-2	17.73	3.65	0.63
Ara+3, Ara+4, Ara-3	17.15	3.23	0.62
Ara+3, Ara+4, Ara-4	21.34	2.47	0.60
Ara+3, Ara+4, Ara-5	18.35	2.82	0.60
Ara+3, Ara+4, Ara-6	16.64	1.96	0.54
Ara+3, Ara+5, Ara-1	17.22	3.73	0.64
Ara+3, Ara+5, Ara-2	19.80	4.55	0.65
Ara+3, Ara+5, Ara-3	20.04	4.04	0.66
Ara+3, Ara+5, Ara-4	19.03	3.06	0.63
Ara+3, Ara+5, Ara-5	20.03	3.51	0.64
Ara+3, Ara+5, Ara-6	14.20	2.41	0.56
Ara+3, Ara-1, Ara-2	21.66	4.50	0.63
Ara+3, Ara-1, Ara-3	16.94	3.89	0.66
Ara+3, Ara-1, Ara-4	25.14	2.99	0.60
Ara+3, Ara-1, Ara-5	21.53	3.44	0.64
Ara+3, Ara-1, Ara-6	16.58	2.36	0.59
Ara+3, Ara-2, Ara-3	21.35	4.80	0.66
Ara+3, Ara-2, Ara-4	23.64	3.58	0.63
Ara+3, Ara-2, Ara-5	20.03	4.18	0.68
Ara+3, Ara-2, Ara-6	14.84	2.79	0.56
Ara+3, Ara-3, Ara-4	17.88	3.19	0.61
Ara+3, Ara-3, Ara-5	18.05	3.69	0.65
Ara+3, Ara-3, Ara-6	13.38	2.49	0.58
Ara+3, Ara-4, Ara-5	21.41	2.83	0.61
Ara+3, Ara-4, Ara-6	16.56	1.94	0.54
Ara+3, Ara-5, Ara-6	13.32	2.18	0.56
Ara+4, Ara+5, Ara-1	17.11	2.96	0.61
Ara+4, Ara+5, Ara-2	21.56	3.56	0.62
Ara+4, Ara+5, Ara-3	20.78	3.12	0.61
Ara+4, Ara+5, Ara-4	21.58	2.40	0.57
Ara+4, Ara+5, Ara-5	24.41	2.79	0.61
Ara+4, Ara+5, Ara-6	21.63	1.90	0.53
Ara+4, Ara-1, Ara-2	19.03	3.47	0.62
Ara+4, Ara-1, Ara-3	17.20	3.08	0.65
Ara+4, Ara-1, Ara-4	22.61	2.37	0.59
Ara+4, Ara-1, Ara-5	16.70	2.74	0.59
Ara+4, Ara-1, Ara-6	20.06	1.88	0.54
Ara+4, Ara-2, Ara-3	20.10	3.72	0.63
Ara+4, Ara-2, Ara-4	22.48	2.84	0.62
Ara+4, Ara-2, Ara-5	19.71	3.26	0.63
Ara+4, Ara-2, Ara-6	19.83	2.21	0.53
Ara+4, Ara-3, Ara-4	19.62	2.55	0.60
Ara+4, Ara-3, Ara-5	18.30	2.87	0.62
Ara+4, Ara-3, Ara-6	19.02	1.97	0.54
Ara+4, Ara-4, Ara-5	21.35	2.24	0.58
Ara+4, Ara-4, Ara-6	23.50	1.58	0.52
Ara+4, Ara-5, Ara-6	17.35	1.78	0.54
Ara+5, Ara-1, Ara-2	19.10	4.32	0.63
Ara+5, Ara-1, Ara-3	16.94	3.83	0.65
Ara+5, Ara-1, Ara-4	21.09	2.91	0.59
Ara+5, Ara-1, Ara-5	19.50	3.35	0.62
Ara+5, Ara-1, Ara-6	16.57	2.31	0.59
Ara+5, Ara-2, Ara-3	23.08	4.67	0.68
Ara+5, Ara-2, Ara-4	22.75	3.51	0.64
Ara+5, Ara-2, Ara-5	22.78	4.07	0.66
Ara+5, Ara-2, Ara-6	17.32	2.73	0.57
Ara+5, Ara-3, Ara-4	19.11	3.10	0.62
Ara+5, Ara-3, Ara-5	22.65	3.59	0.64
